Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ MAR26,Backtest,ThirtyFour,Short,1,22027.25,21988.50,2/13/2025 10:57:00 AM,2/13/2025 11:31:46 AM,ShortEntry,ExitShort_TP,$769.24,$769.24,$5.76,$0.00,$0.00,$0.00,$0.00,$385.00,$780.00,$10.76,36,
2,NQ MAR26,Backtest,ThirtyFour,Short,1,22078.50,22101.00,2/13/2025 3:27:00 PM,2/13/2025 3:54:40 PM,ShortEntry,ExitShort_SL,($455.76),$313.48,$5.76,$0.00,$0.00,$0.00,$0.00,$455.00,$330.00,$785.76,29,
3,NQ MAR26,Backtest,ThirtyFour,Short,1,22187.50,22190.25,2/14/2025 2:23:00 PM,2/14/2025 2:24:00 PM,ShortEntry,ExitShort_ReCross,($60.76),$252.72,$5.76,$0.00,$0.00,$0.00,$0.00,$55.00,$0.00,$60.76,2,
4,NQ MAR26,Backtest,ThirtyFour,Short,1,22186.75,22189.00,2/14/2025 2:25:00 PM,2/14/2025 2:26:00 PM,ShortEntry,ExitShort_ReCross,($50.76),$201.96,$5.76,$0.00,$0.00,$0.00,$0.00,$45.00,$0.00,$50.76,2,
5,NQ MAR26,Backtest,ThirtyFour,Short,1,22183.25,22161.00,2/14/2025 2:27:00 PM,2/14/2025 2:48:37 PM,ShortEntry,ExitShort_TP,$439.24,$641.20,$5.76,$0.00,$0.00,$0.00,$0.00,$25.00,$455.00,$15.76,23,
6,NQ MAR26,Backtest,ThirtyFour,Short,1,22193.00,22201.00,2/14/2025 3:43:00 PM,2/14/2025 3:47:00 PM,ShortEntry,ExitShort_ReCross,($165.76),$475.44,$5.76,$0.00,$0.00,$0.00,$0.00,$180.00,$105.00,$270.76,5,
7,NQ MAR26,Backtest,ThirtyFour,Short,1,22207.25,22206.25,2/14/2025 4:24:00 PM,2/14/2025 4:59:00 PM,ShortEntry,ExitShort_Sess,$14.24,$489.68,$5.76,$0.00,$0.00,$0.00,$0.00,$110.00,$170.00,$155.76,37,
8,NQ MAR26,Backtest,ThirtyFour,Short,1,22209.00,22210.00,2/21/2025 8:08:00 AM,2/21/2025 8:09:00 AM,ShortEntry,ExitShort_ReCross,($25.76),$463.92,$5.76,$0.00,$0.00,$0.00,$0.00,$20.00,$0.00,$25.76,2,
9,NQ MAR26,Backtest,ThirtyFour,Short,1,22216.50,22219.50,2/21/2025 8:27:00 AM,2/21/2025 8:28:00 AM,ShortEntry,ExitShort_ReCross,($65.76),$398.16,$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,2,
10,NQ MAR26,Backtest,ThirtyFour,Short,1,22220.50,22223.25,2/21/2025 8:38:00 AM,2/21/2025 8:40:00 AM,ShortEntry,ExitShort_ReCross,($60.76),$337.40,$5.76,$0.00,$0.00,$0.00,$0.00,$65.00,$110.00,$170.76,3,
