Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-04-02 08:30,Exit Long,39639,2,396830,-440,-0.11,110,0.03,-440,-0.11,-440,0.00
1,Entry long,2024-04-02 08:00,Long trade,39683,2,396830,-440,-0.11,110,0.03,-440,-0.11,-440,0.00
2,Exit long,2024-04-08 04:15,Exit Long,39163,2,392070,-440,-0.11,720,0.18,-440,-0.11,-880,0.00
2,Entry long,2024-04-08 03:15,Long trade,39207,2,392070,-440,-0.11,720,0.18,-440,-0.11,-880,0.00
3,Exit long,2024-04-09 08:00,Exit Long,39272,2,391740,980,0.25,980,0.25,-180,-0.05,100,0.00
3,Entry long,2024-04-09 04:00,Long trade,39174,2,391740,980,0.25,980,0.25,-180,-0.05,100,0.00
4,Exit long,2024-04-11 07:15,Exit Long,38630,2,386750,-450,-0.12,200,0.05,-450,-0.12,-350,0.00
4,Entry long,2024-04-11 05:15,Long trade,38675,2,386750,-450,-0.12,200,0.05,-450,-0.12,-350,0.00
5,Exit long,2024-04-11 09:00,Exit Long,38813,2,387160,970,0.25,970,0.25,-60,-0.02,620,0.00
5,Entry long,2024-04-11 08:45,Long trade,38716,2,387160,970,0.25,970,0.25,-60,-0.02,620,0.00
6,Exit long,2024-04-12 08:30,Exit Long,38573,2,386180,-450,-0.12,710,0.18,-450,-0.12,170,0.00
6,Entry long,2024-04-12 07:00,Long trade,38618,2,386180,-450,-0.12,710,0.18,-450,-0.12,170,0.00
7,Exit short,2024-04-15 03:00,Exit Short,38417,2,383720,-450,-0.12,40,0.01,-450,-0.12,-280,0.00
7,Entry short,2024-04-15 03:00,Short trade,38372,2,383720,-450,-0.12,40,0.01,-450,-0.12,-280,0.00
8,Exit short,2024-04-15 05:15,Exit Short,38320,2,384190,990,0.26,990,0.26,-160,-0.04,710,0.00
8,Entry short,2024-04-15 04:00,Short trade,38419,2,384190,990,0.26,990,0.26,-160,-0.04,710,0.00
9,Exit short,2024-04-16 08:30,Exit Short,38217,2,381720,-450,-0.12,170,0.04,-450,-0.12,260,0.00
9,Entry short,2024-04-16 08:30,Short trade,38172,2,381720,-450,-0.12,170,0.04,-450,-0.12,260,0.00
10,Exit long,2024-04-17 04:00,Exit Long,38154,2,380550,990,0.26,990,0.26,-200,-0.05,1250,0.00
10,Entry long,2024-04-17 03:15,Long trade,38055,2,380550,990,0.26,990,0.26,-200,-0.05,1250,0.00
11,Exit short,2024-04-17 06:00,Exit Short,38208,2,381640,-440,-0.12,180,0.05,-440,-0.12,810,0.00
11,Entry short,2024-04-17 05:15,Short trade,38164,2,381640,-440,-0.12,180,0.05,-440,-0.12,810,0.00
12,Exit short,2024-04-17 08:30,Close entry(s) order Short trade,38098,2,381720,740,0.19,870,0.23,-50,-0.01,1550,0.00
12,Entry short,2024-04-17 07:15,Short trade,38172,2,381720,740,0.19,870,0.23,-50,-0.01,1550,0.00
13,Exit long,2024-04-18 09:00,Exit Long,38124,2,380250,990,0.26,990,0.26,-60,-0.02,2540,0.00
13,Entry long,2024-04-18 05:45,Long trade,38025,2,380250,990,0.26,990,0.26,-60,-0.02,2540,0.00
14,Exit short,2024-04-22 05:30,Exit Short,38387,2,383410,-460,-0.12,600,0.16,-460,-0.12,2080,0.00
14,Entry short,2024-04-22 03:30,Short trade,38341,2,383410,-460,-0.12,600,0.16,-460,-0.12,2080,0.00
15,Exit short,2024-04-22 09:15,Close entry(s) order Short trade,38429,2,384490,200,0.05,760,0.20,-20,-0.01,2280,0.00
15,Entry short,2024-04-22 07:45,Short trade,38449,2,384490,200,0.05,760,0.20,-20,-0.01,2280,0.00
16,Exit short,2024-04-23 08:30,Exit Short,38581,2,385370,-440,-0.11,670,0.17,-440,-0.11,1840,0.00
16,Entry short,2024-04-23 04:15,Short trade,38537,2,385370,-440,-0.11,670,0.17,-440,-0.11,1840,0.00
17,Exit long,2024-04-29 09:15,Close entry(s) order Long trade,38492,2,384860,60,0.02,270,0.07,-270,-0.07,1900,0.00
17,Entry long,2024-04-29 05:45,Long trade,38486,2,384860,60,0.02,270,0.07,-270,-0.07,1900,0.00
18,Exit short,2024-04-30 08:30,Exit Short,38471,2,385690,980,0.25,980,0.25,-10,0.00,2880,0.00
18,Entry short,2024-04-30 07:00,Short trade,38569,2,385690,980,0.25,980,0.25,-10,0.00,2880,0.00
19,Exit long,2024-05-01 05:00,Exit Long,37921,2,379660,-450,-0.12,160,0.04,-450,-0.12,2430,0.00
19,Entry long,2024-05-01 03:15,Long trade,37966,2,379660,-450,-0.12,160,0.04,-450,-0.12,2430,0.00
20,Exit long,2024-05-01 09:15,Close entry(s) order Long trade,37964,2,379060,580,0.15,650,0.17,-190,-0.05,3010,0.00
