Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-04-07 02:45,Exit Long,37003,2,370490,-460,-0.12,490,0.13,-460,-0.12,-460,-0.08
1,Entry long,2025-04-07 02:45,Long trade,37049,2,370490,-460,-0.12,490,0.13,-460,-0.12,-460,-0.08
2,Exit long,2025-04-07 03:15,Exit Long,37049,2,370930,-440,-0.12,670,0.18,-440,-0.12,-900,-0.16
2,Entry long,2025-04-07 03:15,Long trade,37093,2,370930,-440,-0.12,670,0.18,-440,-0.12,-900,-0.16
3,Exit short,2025-04-08 07:45,Exit Short,39222,2,391850,-370,-0.09,320,0.08,-370,-0.09,-1270,-0.23
3,Entry short,2025-04-08 07:45,Short trade,39185,2,391850,-370,-0.09,320,0.08,-370,-0.09,-1270,-0.23
4,Exit short,2025-04-08 08:45,Exit Short,39247,2,392070,-400,-0.10,320,0.08,-400,-0.10,-1670,-0.30
4,Entry short,2025-04-08 08:45,Short trade,39207,2,392070,-400,-0.10,320,0.08,-400,-0.10,-1670,-0.30
5,Exit short,2025-04-09 03:30,Exit Short,37854,2,378250,-290,-0.08,800,0.21,-290,-0.08,-1960,-0.36
5,Entry short,2025-04-09 03:30,Short trade,37825,2,378250,-290,-0.08,800,0.21,-290,-0.08,-1960,-0.36
6,Exit long,2025-04-09 07:45,Exit Long,37102,2,370010,1010,0.27,1010,0.27,-230,-0.06,-950,-0.17
6,Entry long,2025-04-09 07:45,Long trade,37001,2,370010,1010,0.27,1010,0.27,-230,-0.06,-950,-0.17
7,Exit long,2025-04-09 08:30,Exit Long,36923,2,369580,-350,-0.09,0,0.00,-350,-0.09,-1300,-0.24
7,Entry long,2025-04-09 08:30,Long trade,36958,2,369580,-350,-0.09,0,0.00,-350,-0.09,-1300,-0.24
8,Exit short,2025-04-11 03:00,Exit Short,39954,2,400450,910,0.23,910,0.23,-300,-0.07,-390,-0.07
8,Entry short,2025-04-11 03:00,Short trade,40045,2,400450,910,0.23,910,0.23,-300,-0.07,-390,-0.07
9,Exit short,2025-04-14 07:45,Exit Short,40703,2,407970,940,0.23,940,0.23,-110,-0.03,550,0.10
9,Entry short,2025-04-14 07:45,Short trade,40797,2,407970,940,0.23,940,0.23,-110,-0.03,550,0.10
10,Exit short,2025-04-15 03:15,Exit Short,40833,2,407890,-440,-0.11,0,0.00,-440,-0.11,110,0.02
10,Entry short,2025-04-15 03:15,Short trade,40789,2,407890,-440,-0.11,0,0.00,-440,-0.11,110,0.02
11,Exit short,2025-04-15 04:30,Exit Short,40738,2,408300,920,0.23,920,0.23,-120,-0.03,1030,0.19
11,Entry short,2025-04-15 04:15,Short trade,40830,2,408300,920,0.23,920,0.23,-120,-0.03,1030,0.19
12,Exit long,2025-04-15 08:45,Exit Long,40610,2,406480,-380,-0.09,130,0.03,-380,-0.09,650,0.12
12,Entry long,2025-04-15 08:45,Long trade,40648,2,406480,-380,-0.09,130,0.03,-380,-0.09,650,0.12
13,Exit long,2025-04-16 04:15,Exit Long,40299,2,402110,880,0.22,880,0.22,-100,-0.02,1530,0.28
13,Entry long,2025-04-16 04:00,Long trade,40211,2,402110,880,0.22,880,0.22,-100,-0.02,1530,0.28
14,Exit long,2025-04-17 08:30,Exit Long,39356,2,392730,830,0.21,830,0.21,-90,-0.02,2360,0.43
