Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-04-01 03:45,Exit Long,5639.25,2,564650,-725,-0.13,200,0.04,-725,-0.13,-725,0.00
1,Entry long,2025-04-01 03:30,Long trade,5646.5,2,564650,-725,-0.13,200,0.04,-725,-0.13,-725,0.00
2,Exit long,2025-04-01 05:30,Exit Long,5659,2,565525,375,0.07,375,0.07,-75,-0.01,-350,0.00
2,Entry long,2025-04-01 05:30,Long trade,5655.25,2,565525,375,0.07,375,0.07,-75,-0.01,-350,0.00
3,Exit long,2025-04-01 11:45,Exit Long,5679.75,2,567600,375,0.07,375,0.07,-375,-0.07,25,0.00
3,Entry long,2025-04-01 11:45,Long trade,5676,2,567600,375,0.07,375,0.07,-375,-0.07,25,0.00
4,Exit long,2025-04-01 12:30,Exit Long,5665,2,567250,-750,-0.13,300,0.05,-750,-0.13,-725,0.00
4,Entry long,2025-04-01 12:30,Long trade,5672.5,2,567250,-750,-0.13,300,0.05,-750,-0.13,-725,0.00
5,Exit short,2025-04-02 03:30,Exit Short,5658.75,2,566200,325,0.06,325,0.06,-425,-0.08,-400,0.00
5,Entry short,2025-04-02 03:15,Short trade,5662,2,566200,325,0.06,325,0.06,-425,-0.08,-400,0.00
6,Exit short,2025-04-02 04:00,Exit Short,5655.75,2,565950,375,0.07,375,0.07,-25,0.00,-25,0.00
6,Entry short,2025-04-02 04:00,Short trade,5659.5,2,565950,375,0.07,375,0.07,-25,0.00,-25,0.00
7,Exit long,2025-04-02 11:45,Exit Long,5681.25,2,568825,-700,-0.12,300,0.05,-700,-0.12,-725,0.00
7,Entry long,2025-04-02 11:45,Long trade,5688.25,2,568825,-700,-0.12,300,0.05,-700,-0.12,-725,0.00
8,Exit short,2025-04-03 03:30,Exit Short,5537.75,2,554200,425,0.08,425,0.08,-200,-0.04,-300,0.00
8,Entry short,2025-04-03 03:30,Short trade,5542,2,554200,425,0.08,425,0.08,-200,-0.04,-300,0.00
9,Exit short,2025-04-03 06:00,Exit Short,5521.75,2,552600,425,0.08,425,0.08,-400,-0.07,125,0.00
9,Entry short,2025-04-03 06:00,Short trade,5526,2,552600,425,0.08,425,0.08,-400,-0.07,125,0.00
10,Exit short,2025-04-04 05:45,Exit Short,5386.25,2,539000,375,0.07,375,0.07,-525,-0.10,500,0.00
10,Entry short,2025-04-04 05:45,Short trade,5390,2,539000,375,0.07,375,0.07,-525,-0.10,500,0.00
11,Exit short,2025-04-07 03:15,Exit Short,4885.25,2,487800,-725,-0.15,0,0.00,-725,-0.15,-225,0.00
11,Entry short,2025-04-07 03:15,Short trade,4878,2,487800,-725,-0.15,0,0.00,-725,-0.15,-225,0.00
12,Exit short,2025-04-07 03:30,Exit Short,4857.75,2,486100,325,0.07,325,0.07,0,0.00,100,0.00
12,Entry short,2025-04-07 03:30,Short trade,4861,2,486100,325,0.07,325,0.07,0,0.00,100,0.00
13,Exit long,2025-04-08 03:45,Exit Long,5185,2,518150,350,0.07,350,0.07,0,0.00,450,0.00
13,Entry long,2025-04-08 03:45,Long trade,5181.5,2,518150,350,0.07,350,0.07,0,0.00,450,0.00
14,Exit short,2025-04-08 12:30,Exit Short,5188.75,2,519250,375,0.07,375,0.07,-650,-0.13,825,0.00
14,Entry short,2025-04-08 12:30,Short trade,5192.5,2,519250,375,0.07,375,0.07,-650,-0.13,825,0.00
15,Exit long,2025-04-09 03:30,Exit Long,5006,2,501375,-775,-0.15,0,0.00,-775,-0.15,50,0.00
15,Entry long,2025-04-09 03:30,Long trade,5013.75,2,501375,-775,-0.15,0,0.00,-775,-0.15,50,0.00
16,Exit long,2025-04-09 04:00,Exit Long,5037.5,2,503400,350,0.07,350,0.07,0,0.00,400,0.00
16,Entry long,2025-04-09 04:00,Long trade,5034,2,503400,350,0.07,350,0.07,0,0.00,400,0.00
17,Exit short,2025-04-10 05:15,Exit Short,5373.5,2,537750,400,0.07,400,0.07,0,0.00,800,0.00
17,Entry short,2025-04-10 05:15,Short trade,5377.5,2,537750,400,0.07,400,0.07,0,0.00,800,0.00
18,Exit short,2025-04-10 12:45,Exit Short,5226.25,2,522975,350,0.07,350,0.07,0,0.00,1150,0.00
18,Entry short,2025-04-10 12:45,Short trade,5229.75,2,522975,350,0.07,350,0.07,0,0.00,1150,0.00
19,Exit short,2025-04-11 04:30,Exit Short,5283.75,2,528750,375,0.07,375,0.07,-550,-0.10,1525,0.00
19,Entry short,2025-04-11 04:30,Short trade,5287.5,2,528750,375,0.07,375,0.07,-550,-0.10,1525,0.00
20,Exit short,2025-04-11 05:00,Exit Short,5283.5,2,527625,-725,-0.14,0,0.00,-725,-0.14,800,0.00
20,Entry short,2025-04-11 05:00,Short trade,5276.25,2,527625,-725,-0.14,0,0.00,-725,-0.14,800,0.00
21,Exit long,2025-04-14 03:45,Exit Long,5468.75,2,546500,375,0.07,375,0.07,-75,-0.01,1175,0.00
21,Entry long,2025-04-14 03:45,Long trade,5465,2,546500,375,0.07,375,0.07,-75,-0.01,1175,0.00
22,Exit long,2025-04-14 04:00,Exit Long,5470.75,2,546700,375,0.07,375,0.07,-425,-0.08,1550,0.00
22,Entry long,2025-04-14 04:00,Long trade,5467,2,546700,375,0.07,375,0.07,-425,-0.08,1550,0.00
23,Exit short,2025-04-14 12:30,Exit Short,5406.75,2,541050,375,0.07,375,0.07,0,0.00,1925,0.00
23,Entry short,2025-04-14 12:30,Short trade,5410.5,2,541050,375,0.07,375,0.07,0,0.00,1925,0.00
24,Exit long,2025-04-15 04:15,Exit Long,5459.5,2,545575,375,0.07,375,0.07,0,0.00,2300,0.00
24,Entry long,2025-04-15 04:15,Long trade,5455.75,2,545575,375,0.07,375,0.07,0,0.00,2300,0.00
25,Exit long,2025-04-16 04:45,Exit Long,5407.75,2,541450,-675,-0.12,0,0.00,-675,-0.12,1625,0.00
25,Entry long,2025-04-16 04:45,Long trade,5414.5,2,541450,-675,-0.12,0,0.00,-675,-0.12,1625,0.00
26,Exit long,2025-04-17 03:45,Exit Long,5364,2,536025,375,0.07,375,0.07,-125,-0.02,2000,0.00
