Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-10 06:15,Exit Long,42442,2,424880,-460,-0.11,750,0.18,-460,-0.11,-460,0.00
1,Entry long,2025-03-10 05:30,Long trade,42488,2,424880,-460,-0.11,750,0.18,-460,-0.11,-460,0.00
2,Exit long,2025-03-10 08:30,Exit Long,42310,2,423540,-440,-0.10,320,0.08,-440,-0.10,-900,0.00
2,Entry long,2025-03-10 08:15,Long trade,42354,2,423540,-440,-0.10,320,0.08,-440,-0.10,-900,0.00
3,Exit long,2025-03-12 09:45,Exit Long,41449,2,414950,-460,-0.11,690,0.17,-460,-0.11,-1360,0.00
3,Entry long,2025-03-12 09:45,Long trade,41495,2,414950,-460,-0.11,690,0.17,-460,-0.11,-1360,0.00
4,Exit long,2025-03-13 05:15,Exit Long,41346,2,412450,1010,0.24,1010,0.24,-370,-0.09,-350,0.00
4,Entry long,2025-03-13 04:30,Long trade,41245,2,412450,1010,0.24,1010,0.24,-370,-0.09,-350,0.00
5,Exit short,2025-03-17 08:30,Exit Short,41290,2,413900,1000,0.24,1000,0.24,-340,-0.08,650,0.00
5,Entry short,2025-03-17 07:00,Short trade,41390,2,413900,1000,0.24,1000,0.24,-340,-0.08,650,0.00
6,Exit short,2025-03-17 10:00,Close entry(s) order Short trade,41698,2,417610,630,0.15,940,0.23,-360,-0.09,1280,0.00
6,Entry short,2025-03-17 09:45,Short trade,41761,2,417610,630,0.15,940,0.23,-360,-0.09,1280,0.00
7,Exit short,2025-03-18 06:00,Exit Short,42104,2,421980,940,0.22,940,0.22,-490,-0.12,2220,0.00
7,Entry short,2025-03-18 04:45,Short trade,42198,2,421980,940,0.22,940,0.22,-490,-0.12,2220,0.00
8,Exit short,2025-03-19 10:15,Close entry(s) order Short trade,42144,2,421490,50,0.01,180,0.04,-270,-0.06,2270,0.00
8,Entry short,2025-03-19 10:00,Short trade,42149,2,421490,50,0.01,180,0.04,-270,-0.06,2270,0.00
9,Exit short,2025-03-24 04:00,Exit Short,42642,2,425960,-460,-0.11,70,0.02,-460,-0.11,1810,0.00
9,Entry short,2025-03-24 04:00,Short trade,42596,2,425960,-460,-0.11,70,0.02,-460,-0.11,1810,0.00
10,Exit short,2025-03-24 05:15,Close entry(s) order Short trade,42684,2,426460,-380,-0.09,170,0.04,-390,-0.09,1430,0.00
10,Entry short,2025-03-24 04:30,Short trade,42646,2,426460,-380,-0.09,170,0.04,-390,-0.09,1430,0.00
11,Exit short,2025-03-25 07:45,Exit Short,42958,2,429140,-440,-0.10,10,0.00,-440,-0.10,990,0.00
11,Entry short,2025-03-25 07:30,Short trade,42914,2,429140,-440,-0.10,10,0.00,-440,-0.10,990,0.00
12,Exit short,2025-03-25 09:30,Exit Short,43009,2,429640,-450,-0.10,0,0.00,-450,-0.10,540,0.00
12,Entry short,2025-03-25 09:30,Short trade,42964,2,429640,-450,-0.10,0,0.00,-450,-0.10,540,0.00
13,Exit short,2025-03-26 08:30,Exit Short,42978,2,429350,-430,-0.10,100,0.02,-430,-0.10,110,0.00
13,Entry short,2025-03-26 08:15,Short trade,42935,2,429350,-430,-0.10,100,0.02,-430,-0.10,110,0.00
