Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-17 06:15,Exit Short,41364,2,413900,260,0.06,260,0.06,-340,-0.08,260,0.00
1,Entry short,2025-03-17 06:00,Short trade,41390,2,413900,260,0.06,260,0.06,-340,-0.08,260,0.00
2,Exit short,2025-03-17 08:45,Exit Short,41734,2,417610,270,0.06,270,0.06,-360,-0.09,530,0.00
2,Entry short,2025-03-17 08:45,Short trade,41761,2,417610,270,0.06,270,0.06,-360,-0.09,530,0.00
3,Exit short,2025-03-17 09:00,Exit Short,41676,2,416980,220,0.05,220,0.05,-210,-0.05,750,0.00
3,Entry short,2025-03-17 09:00,Short trade,41698,2,416980,220,0.05,220,0.05,-210,-0.05,750,0.00
4,Exit short,2025-03-18 05:00,Exit Short,42178,2,421980,200,0.05,200,0.05,-490,-0.12,950,0.00
4,Entry short,2025-03-18 03:45,Short trade,42198,2,421980,200,0.05,200,0.05,-490,-0.12,950,0.00
5,Exit short,2025-03-19 09:15,Close entry(s) order Short trade,42144,2,421490,50,0.01,180,0.04,-270,-0.06,1000,0.00
5,Entry short,2025-03-19 09:00,Short trade,42149,2,421490,50,0.01,180,0.04,-270,-0.06,1000,0.00
6,Exit short,2025-03-24 03:00,Exit Short,42647,2,425960,-510,-0.12,70,0.02,-510,-0.12,490,0.00
6,Entry short,2025-03-24 03:00,Short trade,42596,2,425960,-510,-0.12,70,0.02,-510,-0.12,490,0.00
7,Exit short,2025-03-24 04:30,Exit Short,42622,2,426460,240,0.06,240,0.06,-390,-0.09,730,0.00
7,Entry short,2025-03-24 03:30,Short trade,42646,2,426460,240,0.06,240,0.06,-390,-0.09,730,0.00
8,Exit short,2025-03-24 08:15,Exit Short,42705,2,427300,250,0.06,250,0.06,-290,-0.07,980,0.00
8,Entry short,2025-03-24 07:45,Short trade,42730,2,427300,250,0.06,250,0.06,-290,-0.07,980,0.00
9,Exit short,2025-03-24 09:00,Exit Short,42794,2,428180,240,0.06,240,0.06,-260,-0.06,1220,0.00
9,Entry short,2025-03-24 09:00,Short trade,42818,2,428180,240,0.06,240,0.06,-260,-0.06,1220,0.00
10,Exit short,2025-03-25 06:45,Exit Short,42963,2,429140,-490,-0.11,10,0.00,-490,-0.11,730,0.00
10,Entry short,2025-03-25 06:30,Short trade,42914,2,429140,-490,-0.11,10,0.00,-490,-0.11,730,0.00
11,Exit short,2025-03-25 08:30,Exit Short,43014,2,429640,-500,-0.12,0,0.00,-500,-0.12,230,0.00
11,Entry short,2025-03-25 08:30,Short trade,42964,2,429640,-500,-0.12,0,0.00,-500,-0.12,230,0.00
12,Exit short,2025-03-26 07:30,Exit Short,42983,2,429350,-480,-0.11,100,0.02,-480,-0.11,-250,0.00
12,Entry short,2025-03-26 07:15,Short trade,42935,2,429350,-480,-0.11,100,0.02,-480,-0.11,-250,0.00
13,Exit short,2025-03-26 09:00,Exit Short,43034,2,430590,250,0.06,250,0.06,0,0.00,0,0.00
13,Entry short,2025-03-26 09:00,Short trade,43059,2,430590,250,0.06,250,0.06,0,0.00,0,0.00
14,Exit short,2025-04-01 02:30,Exit Short,42191,2,422160,250,0.06,250,0.06,-130,-0.03,250,0.00
14,Entry short,2025-04-01 02:30,Short trade,42216,2,422160,250,0.06,250,0.06,-130,-0.03,250,0.00
15,Exit long,2025-04-03 02:30,Exit Long,41434,2,414860,-520,-0.13,120,0.03,-520,-0.13,-270,0.00
15,Entry long,2025-04-03 02:30,Long trade,41486,2,414860,-520,-0.13,120,0.03,-520,-0.13,-270,0.00
16,Exit long,2025-04-03 05:15,Exit Long,41346,2,413170,290,0.07,290,0.07,0,0.00,20,0.00
16,Entry long,2025-04-03 05:15,Long trade,41317,2,413170,290,0.07,290,0.07,0,0.00,20,0.00
17,Exit long,2025-04-03 07:15,Exit Long,41303,2,413490,-460,-0.11,20,0.00,-460,-0.11,-440,0.00
17,Entry long,2025-04-03 07:15,Long trade,41349,2,413490,-460,-0.11,20,0.00,-460,-0.11,-440,0.00
18,Exit long,2025-04-04 03:15,Exit Long,40455,2,404290,260,0.06,260,0.06,-420,-0.10,-180,0.00
18,Entry long,2025-04-04 03:15,Long trade,40429,2,404290,260,0.06,260,0.06,-420,-0.10,-180,0.00
19,Exit long,2025-04-04 06:15,Exit Long,39609,2,395860,230,0.06,230,0.06,0,0.00,50,0.00
19,Entry long,2025-04-04 06:15,Long trade,39586,2,395860,230,0.06,230,0.06,0,0.00,50,0.00
20,Exit long,2025-04-04 07:00,Exit Long,39600,2,396500,-500,-0.13,140,0.04,-500,-0.13,-450,0.00
20,Entry long,2025-04-04 07:00,Long trade,39650,2,396500,-500,-0.13,140,0.04,-500,-0.13,-450,0.00
21,Exit long,2025-04-07 01:45,Exit Long,37068,2,370490,190,0.05,190,0.05,0,0.00,-260,0.00
21,Entry long,2025-04-07 01:45,Long trade,37049,2,370490,190,0.05,190,0.05,0,0.00,-260,0.00
22,Exit long,2025-04-07 02:15,Exit Long,37114,2,370930,210,0.06,210,0.06,0,0.00,-50,0.00
22,Entry long,2025-04-07 02:15,Long trade,37093,2,370930,210,0.06,210,0.06,0,0.00,-50,0.00
23,Exit long,2025-04-07 03:00,Exit Long,37011,2,369840,270,0.07,270,0.07,-240,-0.06,220,0.00
23,Entry long,2025-04-07 03:00,Long trade,36984,2,369840,270,0.07,270,0.07,-240,-0.06,220,0.00
24,Exit short,2025-04-08 06:45,Exit Short,39157,2,391850,280,0.07,280,0.07,0,0.00,500,0.00
24,Entry short,2025-04-08 06:45,Short trade,39185,2,391850,280,0.07,280,0.07,0,0.00,500,0.00
25,Exit short,2025-04-08 07:45,Exit Short,39182,2,392070,250,0.06,250,0.06,0,0.00,750,0.00
25,Entry short,2025-04-08 07:45,Short trade,39207,2,392070,250,0.06,250,0.06,0,0.00,750,0.00
26,Exit short,2025-04-09 02:30,Exit Short,37789,2,378250,360,0.10,360,0.10,0,0.00,1110,0.00
26,Entry short,2025-04-09 02:30,Short trade,37825,2,378250,360,0.10,360,0.10,0,0.00,1110,0.00
27,Exit long,2025-04-09 06:45,Exit Long,37039,2,370010,380,0.10,380,0.10,-230,-0.06,1490,0.00
27,Entry long,2025-04-09 06:45,Long trade,37001,2,370010,380,0.10,380,0.10,-230,-0.06,1490,0.00
28,Exit long,2025-04-09 07:30,Exit Long,36988,2,369580,300,0.08,300,0.08,-380,-0.10,1790,0.00
28,Entry long,2025-04-09 07:30,Long trade,36958,2,369580,300,0.08,300,0.08,-380,-0.10,1790,0.00
29,Exit short,2025-04-11 02:00,Exit Short,40017,2,400450,280,0.07,280,0.07,-300,-0.07,2070,0.00
29,Entry short,2025-04-11 02:00,Short trade,40045,2,400450,280,0.07,280,0.07,-300,-0.07,2070,0.00
30,Exit short,2025-04-14 06:45,Exit Short,40766,2,407970,310,0.08,310,0.08,-110,-0.03,2380,0.00
30,Entry short,2025-04-14 06:45,Short trade,40797,2,407970,310,0.08,310,0.08,-110,-0.03,2380,0.00
31,Exit short,2025-04-15 02:15,Exit Short,40843,2,407890,-540,-0.13,0,0.00,-540,-0.13,1840,0.00
