Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-07 16:15,Close entry(s) order Short trade,1.08545,2,271625,262.5,0.10,862.5,0.32,-725,-0.27,262.5,0.00
1,Entry short,2025-03-07 04:00,Short trade,1.0865,2,271625,262.5,0.10,862.5,0.32,-725,-0.27,262.5,0.00
2,Exit long,2025-03-10 18:15,Close entry(s) order Long trade,1.0841,2,270337.5,687.5,0.25,1650,0.61,-100,-0.04,950,0.00
2,Entry long,2025-03-10 04:45,Long trade,1.08135,2,270337.5,687.5,0.25,1650,0.61,-100,-0.04,950,0.00
3,Exit long,2025-03-12 18:15,Close entry(s) order Long trade,1.089,2,272150,100,0.04,1237.5,0.45,-187.5,-0.07,1050,0.00
3,Entry long,2025-03-12 08:30,Long trade,1.0886,2,272150,100,0.04,1237.5,0.45,-187.5,-0.07,1050,0.00
4,Exit long,2025-03-13 08:45,Exit Long,1.0834,2,271875,-1025,-0.38,287.5,0.11,-1025,-0.38,25,0.00
4,Entry long,2025-03-13 04:45,Long trade,1.0875,2,271875,-1025,-0.38,287.5,0.11,-1025,-0.38,25,0.00
5,Exit short,2025-03-16 18:15,Close entry(s) order Short trade,1.09335,2,273987.5,650,0.24,975,0.36,-175,-0.06,675,0.00
5,Entry short,2025-03-14 07:30,Short trade,1.09595,2,273987.5,650,0.24,975,0.36,-175,-0.06,675,0.00
6,Exit long,2025-03-20 18:15,Close entry(s) order Long trade,1.09065,2,272275,387.5,0.14,500,0.18,-625,-0.23,1062.5,0.00
6,Entry long,2025-03-20 06:00,Long trade,1.0891,2,272275,387.5,0.14,500,0.18,-625,-0.23,1062.5,0.00
7,Exit long,2025-03-24 18:15,Close entry(s) order Long trade,1.08475,2,271587.5,-400,-0.15,175,0.06,-787.5,-0.29,662.5,0.00
7,Entry long,2025-03-24 09:45,Long trade,1.08635,2,271587.5,-400,-0.15,175,0.06,-787.5,-0.29,662.5,0.00
8,Exit long,2025-03-28 16:15,Close entry(s) order Long trade,1.08745,2,270387.5,1475,0.55,1925,0.71,-87.5,-0.03,2137.5,0.00
8,Entry long,2025-03-28 06:00,Long trade,1.08155,2,270387.5,1475,0.55,1925,0.71,-87.5,-0.03,2137.5,0.00
9,Exit long,2025-03-31 16:15,Close entry(s) order Long trade,1.08645,2,271250,362.5,0.13,462.5,0.17,-475,-0.18,2500,0.00
9,Entry long,2025-03-31 08:45,Long trade,1.085,2,271250,362.5,0.13,462.5,0.17,-475,-0.18,2500,0.00
10,Exit long,2025-04-01 16:15,Close entry(s) order Long trade,1.08375,2,271187.5,-250,-0.09,700,0.26,-575,-0.21,2250,0.00
