Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-07 09:30,Exit Short,5740.5,2,572925,-1125,-0.20,475,0.08,-1125,-0.20,-1125,0.00
1,Entry short,2025-03-07 09:15,Short trade,5729.25,2,572925,-1125,-0.20,475,0.08,-1125,-0.20,-1125,0.00
2,Exit short,2025-03-10 10:15,Exit Short,5671.25,2,567925,800,0.14,800,0.14,-675,-0.12,-325,0.00
2,Entry short,2025-03-10 10:15,Short trade,5679.25,2,567925,800,0.14,800,0.14,-675,-0.12,-325,0.00
3,Exit short,2025-03-10 10:30,Exit Short,5662.75,2,567100,825,0.15,825,0.15,-525,-0.09,500,0.00
3,Entry short,2025-03-10 10:30,Short trade,5671,2,567100,825,0.15,825,0.15,-525,-0.09,500,0.00
4,Exit short,2025-03-11 10:15,Exit Short,5586.25,2,559400,775,0.14,775,0.14,-950,-0.17,1275,0.00
4,Entry short,2025-03-11 10:15,Short trade,5594,2,559400,775,0.14,775,0.14,-950,-0.17,1275,0.00
5,Exit short,2025-03-11 10:30,Exit Short,5585.5,2,557425,-1125,-0.20,0,0.00,-1125,-0.20,150,0.00
5,Entry short,2025-03-11 10:30,Short trade,5574.25,2,557425,-1125,-0.20,0,0.00,-1125,-0.20,150,0.00
6,Exit short,2025-03-13 11:15,Exit Short,5555,2,556325,825,0.15,825,0.15,-350,-0.06,975,0.00
6,Entry short,2025-03-13 11:15,Short trade,5563.25,2,556325,825,0.15,825,0.15,-350,-0.06,975,0.00
7,Exit short,2025-03-13 11:45,Exit Short,5547.75,2,555550,775,0.14,775,0.14,-300,-0.05,1750,0.00
7,Entry short,2025-03-13 11:45,Short trade,5555.5,2,555550,775,0.14,775,0.14,-300,-0.05,1750,0.00
8,Exit long,2025-03-14 10:45,Exit Long,5605.75,2,559800,775,0.14,775,0.14,-125,-0.02,2525,0.00
8,Entry long,2025-03-14 10:45,Long trade,5598,2,559800,775,0.14,775,0.14,-125,-0.02,2525,0.00
9,Exit long,2025-03-14 11:15,Exit Long,5621.75,2,561350,825,0.15,825,0.15,-325,-0.06,3350,0.00
9,Entry long,2025-03-14 11:00,Long trade,5613.5,2,561350,825,0.15,825,0.15,-325,-0.06,3350,0.00
