Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-10 05:00,Close entry(s) order Long trade,5705.5,7,200025,-332.5,-0.17,148.75,0.07,-446.25,-0.22,-332.5,0.00
1,Entry long,2025-03-10 04:45,Long trade,5715,7,200025,-332.5,-0.17,148.75,0.07,-446.25,-0.22,-332.5,0.00
2,Exit long,2025-03-10 21:15,Close entry(s) order Long trade,5564.5,7,195063.75,-306.25,-0.16,148.75,0.08,-542.5,-0.28,-638.75,0.00
2,Entry long,2025-03-10 21:00,Long trade,5573.25,7,195063.75,-306.25,-0.16,148.75,0.08,-542.5,-0.28,-638.75,0.00
3,Exit long,2025-03-13 01:00,Close entry(s) order Long trade,5580.5,7,195588.75,-271.25,-0.14,183.75,0.09,-393.75,-0.20,-910,0.00
3,Entry long,2025-03-13 00:00,Long trade,5588.25,7,195588.75,-271.25,-0.14,183.75,0.09,-393.75,-0.20,-910,0.00
4,Exit short,2025-03-14 09:45,Close entry(s) order Short trade,5592.75,7,195545,-201.25,-0.10,647.5,0.33,-227.5,-0.12,-1111.25,0.00
4,Entry short,2025-03-14 08:30,Short trade,5587,7,195545,-201.25,-0.10,647.5,0.33,-227.5,-0.12,-1111.25,0.00
5,Exit short,2025-03-17 07:15,Close entry(s) order Short trade,5632,7,196805,-315,-0.16,0,0.00,-350,-0.18,-1426.25,0.00
5,Entry short,2025-03-17 06:45,Short trade,5623,7,196805,-315,-0.16,0,0.00,-350,-0.18,-1426.25,0.00
6,Exit long,2025-03-20 06:00,Close entry(s) order Long trade,5730,7,200760,-210,-0.10,17.5,0.01,-341.25,-0.17,-1636.25,0.00
6,Entry long,2025-03-20 05:45,Long trade,5736,7,200760,-210,-0.10,17.5,0.01,-341.25,-0.17,-1636.25,0.00
7,Exit long,2025-03-21 04:30,Close entry(s) order Long trade,5690,7,199552.5,-402.5,-0.20,551.25,0.28,-455,-0.23,-2038.75,0.00
7,Entry long,2025-03-21 01:45,Long trade,5701.5,7,199552.5,-402.5,-0.20,551.25,0.28,-455,-0.23,-2038.75,0.00
8,Exit short,2025-03-24 02:45,Close entry(s) order Short trade,5758.75,7,201337.5,-218.75,-0.11,61.25,0.03,-236.25,-0.12,-2257.5,0.00
8,Entry short,2025-03-23 20:00,Short trade,5752.5,7,201337.5,-218.75,-0.11,61.25,0.03,-236.25,-0.12,-2257.5,0.00
9,Exit short,2025-03-25 08:30,Close entry(s) order Short trade,5829.75,7,203822.5,-218.75,-0.11,8.75,0.00,-245,-0.12,-2476.25,0.00
9,Entry short,2025-03-25 07:45,Short trade,5823.5,7,203822.5,-218.75,-0.11,8.75,0.00,-245,-0.12,-2476.25,0.00
10,Exit long,2025-03-26 10:00,Close entry(s) order Long trade,5808.5,7,203621.25,-323.75,-0.16,586.25,0.29,-428.75,-0.21,-2800,0.00
10,Entry long,2025-03-26 02:30,Long trade,5817.75,7,203621.25,-323.75,-0.16,586.25,0.29,-428.75,-0.21,-2800,0.00
11,Exit long,2025-03-28 04:00,Close entry(s) order Long trade,5712.5,7,200191.25,-253.75,-0.13,105,0.05,-280,-0.14,-3053.75,0.00
11,Entry long,2025-03-28 03:45,Long trade,5719.75,7,200191.25,-253.75,-0.13,105,0.05,-280,-0.14,-3053.75,0.00
12,Exit long,2025-03-30 20:45,Close entry(s) order Long trade,5577.5,7,195440,-227.5,-0.12,341.25,0.17,-367.5,-0.19,-3281.25,0.00
12,Entry long,2025-03-30 19:30,Long trade,5584,7,195440,-227.5,-0.12,341.25,0.17,-367.5,-0.19,-3281.25,0.00
13,Exit long,2025-04-02 08:00,Close entry(s) order Long trade,5635,7,197443.75,-218.75,-0.11,201.25,0.10,-262.5,-0.13,-3500,0.00
13,Entry long,2025-04-02 06:45,Long trade,5641.25,7,197443.75,-218.75,-0.11,201.25,0.10,-262.5,-0.13,-3500,0.00
14,Exit long,2025-04-02 19:45,Close entry(s) order Long trade,5506.5,7,192998.75,-271.25,-0.14,761.25,0.39,-533.75,-0.28,-3771.25,0.00
14,Entry long,2025-04-02 18:45,Long trade,5514.25,7,192998.75,-271.25,-0.14,761.25,0.39,-533.75,-0.28,-3771.25,0.00
15,Exit long,2025-04-04 00:45,Close entry(s) order Long trade,5389.5,7,188912.5,-280,-0.15,253.75,0.13,-358.75,-0.19,-4051.25,0.00
15,Entry long,2025-04-03 23:45,Long trade,5397.5,7,188912.5,-280,-0.15,253.75,0.13,-358.75,-0.19,-4051.25,0.00
16,Exit long,2025-04-06 19:15,Close entry(s) order Long trade,4875,7,171150,-525,-0.31,280,0.16,-1338.75,-0.78,-4576.25,0.00
16,Entry long,2025-04-06 18:45,Long trade,4890,7,171150,-525,-0.31,280,0.16,-1338.75,-0.78,-4576.25,0.00
17,Exit long,2025-04-08 21:30,Close entry(s) order Long trade,4924,7,172602.5,-262.5,-0.15,945,0.55,-673.75,-0.39,-4838.75,0.00
17,Entry long,2025-04-08 19:30,Long trade,4931.5,7,172602.5,-262.5,-0.15,945,0.55,-673.75,-0.39,-4838.75,0.00
18,Exit short,2025-04-09 20:45,Close entry(s) order Short trade,5483.25,7,193147.5,1233.75,0.64,1505,0.78,-358.75,-0.19,-3605,0.00
18,Entry short,2025-04-09 18:45,Short trade,5518.5,7,193147.5,1233.75,0.64,1505,0.78,-358.75,-0.19,-3605,0.00
19,Exit short,2025-04-11 03:15,Close entry(s) order Short trade,5336.25,7,187818.75,1050,0.56,1583.75,0.84,-332.5,-0.18,-2555,0.00
19,Entry short,2025-04-11 02:15,Short trade,5366.25,7,187818.75,1050,0.56,1583.75,0.84,-332.5,-0.18,-2555,0.00
20,Exit short,2025-04-15 08:00,Close entry(s) order Short trade,5425.25,7,191161.25,1277.5,0.67,1487.5,0.78,-8.75,0.00,-1277.5,0.00
20,Entry short,2025-04-15 03:45,Short trade,5461.75,7,191161.25,1277.5,0.67,1487.5,0.78,-8.75,0.00,-1277.5,0.00
21,Exit long,2025-04-15 20:15,Close entry(s) order Long trade,5377.75,7,188483.75,-262.5,-0.14,113.75,0.06,-297.5,-0.16,-1540,0.00
21,Entry long,2025-04-15 19:15,Long trade,5385.25,7,188483.75,-262.5,-0.14,113.75,0.06,-297.5,-0.16,-1540,0.00
22,Exit short,2025-04-17 06:15,Close entry(s) order Short trade,5336.25,7,187941.25,1172.5,0.62,1303.75,0.69,-8.75,0.00,-367.5,0.00
22,Entry short,2025-04-17 03:30,Short trade,5369.75,7,187941.25,1172.5,0.62,1303.75,0.69,-8.75,0.00,-367.5,0.00
23,Exit long,2025-04-21 07:30,Close entry(s) order Long trade,5245.75,7,183890,-288.75,-0.16,560,0.30,-551.25,-0.30,-656.25,0.00
23,Entry long,2025-04-21 04:00,Long trade,5254,7,183890,-288.75,-0.16,560,0.30,-551.25,-0.30,-656.25,0.00
24,Exit short,2025-04-22 03:00,Close entry(s) order Short trade,5248.25,7,182761.25,-927.5,-0.51,831.25,0.45,-1032.5,-0.56,-1583.75,0.00
24,Entry short,2025-04-21 21:45,Short trade,5221.75,7,182761.25,-927.5,-0.51,831.25,0.45,-1032.5,-0.56,-1583.75,0.00
25,Exit short,2025-04-22 19:00,Close entry(s) order Short trade,5416.75,7,189183.75,-402.5,-0.21,148.75,0.08,-437.5,-0.23,-1986.25,0.00
25,Entry short,2025-04-22 18:45,Short trade,5405.25,7,189183.75,-402.5,-0.21,148.75,0.08,-437.5,-0.23,-1986.25,0.00
26,Exit long,2025-04-24 06:45,Close entry(s) order Long trade,5396,7,187792.5,1067.5,0.57,1093.75,0.58,-350,-0.19,-918.75,0.00
26,Entry long,2025-04-24 04:30,Long trade,5365.5,7,187792.5,1067.5,0.57,1093.75,0.58,-350,-0.19,-918.75,0.00
27,Exit short,2025-04-24 21:00,Close entry(s) order Short trade,5540.25,7,193672.5,-236.25,-0.12,332.5,0.17,-323.75,-0.17,-1155,0.00
27,Entry short,2025-04-24 18:45,Short trade,5533.5,7,193672.5,-236.25,-0.12,332.5,0.17,-323.75,-0.17,-1155,0.00
28,Exit short,2025-04-29 09:00,Close entry(s) order Short trade,5536.75,7,195011.25,1225,0.63,1347.5,0.69,-70,-0.04,70,0.00
28,Entry short,2025-04-28 22:15,Short trade,5571.75,7,195011.25,1225,0.63,1347.5,0.69,-70,-0.04,70,0.00
29,Exit long,2025-04-30 08:45,Close entry(s) order Long trade,5514,7,194302.5,-1312.5,-0.68,1076.25,0.55,-1470,-0.76,-1242.5,0.00
29,Entry long,2025-04-29 23:15,Long trade,5551.5,7,194302.5,-1312.5,-0.68,1076.25,0.55,-1470,-0.76,-1242.5,0.00
30,Exit long,2025-05-05 05:00,Close entry(s) order Long trade,5659.5,7,198353.75,-271.25,-0.14,455,0.23,-420,-0.21,-1513.75,0.00
30,Entry long,2025-05-04 21:45,Long trade,5667.25,7,198353.75,-271.25,-0.14,455,0.23,-420,-0.21,-1513.75,0.00
31,Exit long,2025-05-06 02:00,Close entry(s) order Long trade,5648.75,7,198030,-323.75,-0.16,192.5,0.10,-420,-0.21,-1837.5,0.00
31,Entry long,2025-05-05 21:45,Long trade,5658,7,198030,-323.75,-0.16,192.5,0.10,-420,-0.21,-1837.5,0.00
32,Exit short,2025-05-08 04:45,Close entry(s) order Short trade,5702.75,7,199386.25,-210,-0.11,490,0.25,-227.5,-0.11,-2047.5,0.00
32,Entry short,2025-05-08 00:00,Short trade,5696.75,7,199386.25,-210,-0.11,490,0.25,-227.5,-0.11,-2047.5,0.00
33,Exit long,2025-05-09 06:15,Close entry(s) order Long trade,5698.25,7,198423.75,1015,0.51,1023.75,0.52,-140,-0.07,-1032.5,0.00
33,Entry long,2025-05-08 20:30,Long trade,5669.25,7,198423.75,1015,0.51,1023.75,0.52,-140,-0.07,-1032.5,0.00
34,Exit short,2025-05-11 19:30,Close entry(s) order Short trade,5753,7,201083.75,-271.25,-0.13,26.25,0.01,-367.5,-0.18,-1303.75,0.00
34,Entry short,2025-05-11 19:15,Short trade,5745.25,7,201083.75,-271.25,-0.13,26.25,0.01,-367.5,-0.18,-1303.75,0.00
35,Exit long,2025-05-15 03:45,Close entry(s) order Long trade,5880.75,7,206080,-253.75,-0.12,297.5,0.14,-332.5,-0.16,-1557.5,0.00
