Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-07 10:00,Exit Long,20192.5,3,120837,318,0.26,318,0.26,0,0.00,318,0.00
1,Entry long,2025-03-07 10:00,Long trade,20139.5,3,120837,318,0.26,318,0.26,0,0.00,318,0.00
2,Exit long,2025-03-07 10:15,Exit Long,20054.75,3,120688.5,-360,-0.30,103.5,0.09,-360,-0.30,-42,0.00
2,Entry long,2025-03-07 10:15,Long trade,20114.75,3,120688.5,-360,-0.30,103.5,0.09,-360,-0.30,-42,0.00
3,Exit short,2025-03-07 10:30,Exit Short,20006.25,3,120351,313.5,0.26,313.5,0.26,-6,0.00,271.5,0.00
3,Entry short,2025-03-07 10:30,Short trade,20058.5,3,120351,313.5,0.26,313.5,0.26,-6,0.00,271.5,0.00
4,Exit long,2025-03-07 10:45,Exit Long,19999.75,3,119686.5,312,0.26,312,0.26,-90,-0.08,583.5,0.00
4,Entry long,2025-03-07 10:45,Long trade,19947.75,3,119686.5,312,0.26,312,0.26,-90,-0.08,583.5,0.00
5,Exit long,2025-03-10 11:00,Exit Long,19606,3,117327,309,0.26,309,0.26,-33,-0.03,892.5,0.00
5,Entry long,2025-03-10 11:00,Long trade,19554.5,3,117327,309,0.26,309,0.26,-33,-0.03,892.5,0.00
6,Exit short,2025-03-10 11:30,Exit Short,19667,3,117645,-357,-0.30,282,0.24,-357,-0.30,535.5,0.00
6,Entry short,2025-03-10 11:15,Short trade,19607.5,3,117645,-357,-0.30,282,0.24,-357,-0.30,535.5,0.00
7,Exit long,2025-03-10 11:45,Exit Long,19656.75,3,117628.5,312,0.27,312,0.27,-184.5,-0.16,847.5,0.00
7,Entry long,2025-03-10 11:45,Long trade,19604.75,3,117628.5,312,0.27,312,0.27,-184.5,-0.16,847.5,0.00
8,Exit short,2025-03-10 12:15,Exit Short,19534.5,3,117520.5,313.5,0.27,313.5,0.27,-204,-0.17,1161,0.00
8,Entry short,2025-03-10 12:00,Short trade,19586.75,3,117520.5,313.5,0.27,313.5,0.27,-204,-0.17,1161,0.00
9,Exit short,2025-03-11 11:00,Exit Short,19373.75,3,115879.5,-363,-0.31,165,0.14,-363,-0.31,798,0.00
