Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-07 09:30,Exit Short,5740.5,7,200532.5,-385,-0.19,166.25,0.08,-385,-0.19,-385,0.00
1,Entry short,2025-03-07 09:15,Short trade,5729.5,7,200532.5,-385,-0.19,166.25,0.08,-385,-0.19,-385,0.00
2,Exit short,2025-03-07 10:45,Exit Short,5724.25,7,199955,-393.75,-0.20,105,0.05,-393.75,-0.20,-778.75,0.00
2,Entry short,2025-03-07 10:45,Short trade,5713,7,199955,-393.75,-0.20,105,0.05,-393.75,-0.20,-778.75,0.00
3,Exit short,2025-03-10 10:30,Exit Short,5663.75,7,198782.5,551.25,0.28,551.25,0.28,-227.5,-0.11,-227.5,0.00
3,Entry short,2025-03-10 10:15,Short trade,5679.5,7,198782.5,551.25,0.28,551.25,0.28,-227.5,-0.11,-227.5,0.00
4,Exit short,2025-03-10 11:30,Exit Short,5672.25,7,198143.75,-385,-0.19,525,0.26,-385,-0.19,-612.5,0.00
4,Entry short,2025-03-10 10:45,Short trade,5661.25,7,198143.75,-385,-0.19,525,0.26,-385,-0.19,-612.5,0.00
5,Exit short,2025-03-11 10:15,Exit Short,5578.75,7,195790,533.75,0.27,533.75,0.27,-358.75,-0.18,-78.75,0.00
5,Entry short,2025-03-11 10:15,Short trade,5594,7,195790,533.75,0.27,533.75,0.27,-358.75,-0.18,-78.75,0.00
6,Exit short,2025-03-11 10:30,Exit Short,5585.25,7,195098.75,-385,-0.20,0,0.00,-385,-0.20,-463.75,0.00
6,Entry short,2025-03-11 10:30,Short trade,5574.25,7,195098.75,-385,-0.20,0,0.00,-385,-0.20,-463.75,0.00
7,Exit short,2025-03-13 11:30,Exit Short,5547.5,7,194713.75,551.25,0.28,551.25,0.28,-122.5,-0.06,87.5,0.00
7,Entry short,2025-03-13 11:15,Short trade,5563.25,7,194713.75,551.25,0.28,551.25,0.28,-122.5,-0.06,87.5,0.00
8,Exit short,2025-03-13 11:45,Exit Short,5540,7,194442.5,542.5,0.28,542.5,0.28,-105,-0.05,630,0.00
8,Entry short,2025-03-13 11:45,Short trade,5555.5,7,194442.5,542.5,0.28,542.5,0.28,-105,-0.05,630,0.00
9,Exit long,2025-03-14 10:45,Exit Long,5613.25,7,195921.25,542.5,0.28,542.5,0.28,-35,-0.02,1172.5,0.00
9,Entry long,2025-03-14 10:45,Long trade,5597.75,7,195921.25,542.5,0.28,542.5,0.28,-35,-0.02,1172.5,0.00
10,Exit long,2025-03-14 11:30,Exit Long,5629.5,7,196490,542.5,0.28,542.5,0.28,0,0.00,1715,0.00
10,Entry long,2025-03-14 11:15,Long trade,5614,7,196490,542.5,0.28,542.5,0.28,0,0.00,1715,0.00
11,Exit long,2025-03-17 11:00,Exit Long,5645.25,7,197977.5,-393.75,-0.20,367.5,0.19,-393.75,-0.20,1321.25,0.00
11,Entry long,2025-03-17 10:30,Long trade,5656.5,7,197977.5,-393.75,-0.20,367.5,0.19,-393.75,-0.20,1321.25,0.00
12,Exit short,2025-03-17 12:00,Close entry(s) order Short trade,5648.75,7,197513.75,-192.5,-0.10,61.25,0.03,-367.5,-0.19,1128.75,0.00
12,Entry short,2025-03-17 11:45,Short trade,5643.25,7,197513.75,-192.5,-0.10,61.25,0.03,-367.5,-0.19,1128.75,0.00
