Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-17 06:45,Exit Short,41339,1,206950,255,0.12,255,0.12,-170,-0.08,255,0.00
1,Entry short,2025-03-17 06:00,Short trade,41390,1,206950,255,0.12,255,0.12,-170,-0.08,255,0.00
2,Exit short,2025-03-17 08:45,Exit Short,41709,1,208805,260,0.12,260,0.12,-180,-0.09,515,0.00
2,Entry short,2025-03-17 08:45,Short trade,41761,1,208805,260,0.12,260,0.12,-180,-0.09,515,0.00
3,Exit short,2025-03-17 09:00,Exit Short,41651,1,208490,235,0.11,235,0.11,-105,-0.05,750,0.00
3,Entry short,2025-03-17 09:00,Short trade,41698,1,208490,235,0.11,235,0.11,-105,-0.05,750,0.00
4,Exit short,2025-03-18 05:00,Exit Short,42153,1,210990,225,0.11,225,0.11,-245,-0.12,975,0.00
4,Entry short,2025-03-18 03:45,Short trade,42198,1,210990,225,0.11,225,0.11,-245,-0.12,975,0.00
5,Exit short,2025-03-19 09:15,Close entry(s) order Short trade,42144,1,210745,25,0.01,90,0.04,-135,-0.06,1000,0.00
5,Entry short,2025-03-19 09:00,Short trade,42149,1,210745,25,0.01,90,0.04,-135,-0.06,1000,0.00
6,Exit short,2025-03-24 03:00,Exit Short,42647,1,212980,-255,-0.12,35,0.02,-255,-0.12,745,0.00
6,Entry short,2025-03-24 03:00,Short trade,42596,1,212980,-255,-0.12,35,0.02,-255,-0.12,745,0.00
7,Exit short,2025-03-24 06:00,Exit Short,42697,1,213230,-255,-0.12,220,0.10,-255,-0.12,490,0.00
7,Entry short,2025-03-24 03:30,Short trade,42646,1,213230,-255,-0.12,220,0.10,-255,-0.12,490,0.00
8,Exit short,2025-03-25 06:45,Exit Short,42963,1,214570,-245,-0.11,5,0.00,-245,-0.11,245,0.00
8,Entry short,2025-03-25 06:30,Short trade,42914,1,214570,-245,-0.11,5,0.00,-245,-0.11,245,0.00
9,Exit short,2025-03-25 08:30,Exit Short,43014,1,214820,-250,-0.12,0,0.00,-250,-0.12,-5,0.00
9,Entry short,2025-03-25 08:30,Short trade,42964,1,214820,-250,-0.12,0,0.00,-250,-0.12,-5,0.00
10,Exit short,2025-03-26 07:30,Exit Short,42983,1,214675,-240,-0.11,50,0.02,-240,-0.11,-245,0.00
10,Entry short,2025-03-26 07:15,Short trade,42935,1,214675,-240,-0.11,50,0.02,-240,-0.11,-245,0.00
11,Exit short,2025-03-26 09:00,Exit Short,43109,1,215295,-250,-0.12,195,0.09,-250,-0.12,-495,0.00
11,Entry short,2025-03-26 09:00,Short trade,43059,1,215295,-250,-0.12,195,0.09,-250,-0.12,-495,0.00
12,Exit short,2025-04-01 03:00,Exit Short,42166,1,211080,250,0.12,250,0.12,-65,-0.03,-245,0.00
12,Entry short,2025-04-01 02:30,Short trade,42216,1,211080,250,0.12,250,0.12,-65,-0.03,-245,0.00
13,Exit long,2025-04-03 02:30,Exit Long,41434,1,207430,-260,-0.13,60,0.03,-260,-0.13,-505,0.00
13,Entry long,2025-04-03 02:30,Long trade,41486,1,207430,-260,-0.13,60,0.03,-260,-0.13,-505,0.00
14,Exit long,2025-04-03 05:30,Exit Long,41271,1,206585,-230,-0.11,170,0.08,-230,-0.11,-735,0.00
14,Entry long,2025-04-03 05:15,Long trade,41317,1,206585,-230,-0.11,170,0.08,-230,-0.11,-735,0.00
15,Exit long,2025-04-04 03:15,Exit Long,40480,1,202145,255,0.13,255,0.13,-210,-0.10,-480,0.00
15,Entry long,2025-04-04 03:15,Long trade,40429,1,202145,255,0.13,255,0.13,-210,-0.10,-480,0.00
16,Exit long,2025-04-04 06:15,Exit Long,39634,1,197930,240,0.12,240,0.12,0,0.00,-240,0.00
16,Entry long,2025-04-04 06:15,Long trade,39586,1,197930,240,0.12,240,0.12,0,0.00,-240,0.00
17,Exit long,2025-04-04 07:00,Exit Long,39600,1,198250,-250,-0.13,70,0.04,-250,-0.13,-490,0.00
17,Entry long,2025-04-04 07:00,Long trade,39650,1,198250,-250,-0.13,70,0.04,-250,-0.13,-490,0.00
18,Exit long,2025-04-07 01:45,Exit Long,37093,1,185245,220,0.12,220,0.12,0,0.00,-270,0.00
18,Entry long,2025-04-07 01:45,Long trade,37049,1,185245,220,0.12,220,0.12,0,0.00,-270,0.00
19,Exit long,2025-04-07 02:15,Exit Long,37139,1,185465,230,0.12,230,0.12,0,0.00,-40,0.00
19,Entry long,2025-04-07 02:15,Long trade,37093,1,185465,230,0.12,230,0.12,0,0.00,-40,0.00
20,Exit long,2025-04-07 03:00,Exit Long,37036,1,184920,260,0.14,260,0.14,-120,-0.06,220,0.00
20,Entry long,2025-04-07 03:00,Long trade,36984,1,184920,260,0.14,260,0.14,-120,-0.06,220,0.00
21,Exit short,2025-04-08 06:45,Exit Short,39232,1,195925,-235,-0.12,160,0.08,-235,-0.12,-15,0.00
21,Entry short,2025-04-08 06:45,Short trade,39185,1,195925,-235,-0.12,160,0.08,-235,-0.12,-15,0.00
22,Exit short,2025-04-08 08:00,Exit Short,39257,1,196035,-250,-0.13,160,0.08,-250,-0.13,-265,0.00
22,Entry short,2025-04-08 07:45,Short trade,39207,1,196035,-250,-0.13,160,0.08,-250,-0.13,-265,0.00
23,Exit short,2025-04-09 02:30,Exit Short,37764,1,189125,305,0.16,305,0.16,0,0.00,40,0.00
23,Entry short,2025-04-09 02:30,Short trade,37825,1,189125,305,0.16,305,0.16,0,0.00,40,0.00
24,Exit long,2025-04-09 06:45,Exit Long,37064,1,185005,315,0.17,315,0.17,-115,-0.06,355,0.00
24,Entry long,2025-04-09 06:45,Long trade,37001,1,185005,315,0.17,315,0.17,-115,-0.06,355,0.00
25,Exit long,2025-04-09 07:30,Exit Long,37013,1,184790,275,0.15,275,0.15,-190,-0.10,630,0.00
25,Entry long,2025-04-09 07:30,Long trade,36958,1,184790,275,0.15,275,0.15,-190,-0.10,630,0.00
26,Exit short,2025-04-11 02:00,Exit Short,39992,1,200225,265,0.13,265,0.13,-150,-0.07,895,0.00
26,Entry short,2025-04-11 02:00,Short trade,40045,1,200225,265,0.13,265,0.13,-150,-0.07,895,0.00
27,Exit short,2025-04-14 06:45,Exit Short,40741,1,203985,280,0.14,280,0.14,-55,-0.03,1175,0.00
27,Entry short,2025-04-14 06:45,Short trade,40797,1,203985,280,0.14,280,0.14,-55,-0.03,1175,0.00
28,Exit short,2025-04-15 02:15,Exit Short,40843,1,203945,-270,-0.13,0,0.00,-270,-0.13,905,0.00
28,Entry short,2025-04-15 02:15,Short trade,40789,1,203945,-270,-0.13,0,0.00,-270,-0.13,905,0.00
