Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-12 08:45,Exit Long,41519,3,622425,360,0.06,360,0.06,0,0.00,360,0.00
1,Entry long,2025-03-12 08:45,Long trade,41495,3,622425,360,0.06,360,0.06,0,0.00,360,0.00
2,Exit long,2025-03-13 03:45,Exit Long,41272,3,618675,405,0.07,405,0.07,-555,-0.09,765,0.00
2,Entry long,2025-03-13 03:30,Long trade,41245,3,618675,405,0.07,405,0.07,-555,-0.09,765,0.00
3,Exit short,2025-03-17 06:15,Exit Short,41364,3,620850,390,0.06,390,0.06,-510,-0.08,1155,0.00
3,Entry short,2025-03-17 06:00,Short trade,41390,3,620850,390,0.06,390,0.06,-510,-0.08,1155,0.00
4,Exit short,2025-03-17 08:45,Exit Short,41734,3,626415,405,0.06,405,0.06,-540,-0.09,1560,0.00
4,Entry short,2025-03-17 08:45,Short trade,41761,3,626415,405,0.06,405,0.06,-540,-0.09,1560,0.00
5,Exit short,2025-03-17 09:00,Exit Short,41676,3,625470,330,0.05,330,0.05,-315,-0.05,1890,0.00
5,Entry short,2025-03-17 09:00,Short trade,41698,3,625470,330,0.05,330,0.05,-315,-0.05,1890,0.00
6,Exit short,2025-03-18 05:00,Exit Short,42178,3,632970,300,0.05,300,0.05,-735,-0.12,2190,0.00
6,Entry short,2025-03-18 03:45,Short trade,42198,3,632970,300,0.05,300,0.05,-735,-0.12,2190,0.00
7,Exit short,2025-03-19 09:15,Close entry(s) order Short trade,42144,3,632235,75,0.01,270,0.04,-405,-0.06,2265,0.00
7,Entry short,2025-03-19 09:00,Short trade,42149,3,632235,75,0.01,270,0.04,-405,-0.06,2265,0.00
8,Exit short,2025-03-24 03:00,Exit Short,42647,3,638940,-765,-0.12,105,0.02,-765,-0.12,1500,0.00
8,Entry short,2025-03-24 03:00,Short trade,42596,3,638940,-765,-0.12,105,0.02,-765,-0.12,1500,0.00
9,Exit short,2025-03-24 04:30,Exit Short,42622,3,639690,360,0.06,360,0.06,-585,-0.09,1860,0.00
9,Entry short,2025-03-24 03:30,Short trade,42646,3,639690,360,0.06,360,0.06,-585,-0.09,1860,0.00
10,Exit short,2025-03-24 08:15,Exit Short,42705,3,640950,375,0.06,375,0.06,-435,-0.07,2235,0.00
10,Entry short,2025-03-24 07:45,Short trade,42730,3,640950,375,0.06,375,0.06,-435,-0.07,2235,0.00
11,Exit short,2025-03-24 09:00,Exit Short,42794,3,642270,360,0.06,360,0.06,-390,-0.06,2595,0.00
11,Entry short,2025-03-24 09:00,Short trade,42818,3,642270,360,0.06,360,0.06,-390,-0.06,2595,0.00
12,Exit short,2025-03-25 06:45,Exit Short,42963,3,643710,-735,-0.11,15,0.00,-735,-0.11,1860,0.00
12,Entry short,2025-03-25 06:30,Short trade,42914,3,643710,-735,-0.11,15,0.00,-735,-0.11,1860,0.00
13,Exit short,2025-03-25 08:30,Exit Short,43014,3,644460,-750,-0.12,0,0.00,-750,-0.12,1110,0.00
13,Entry short,2025-03-25 08:30,Short trade,42964,3,644460,-750,-0.12,0,0.00,-750,-0.12,1110,0.00
14,Exit short,2025-03-26 07:30,Exit Short,42983,3,644025,-720,-0.11,150,0.02,-720,-0.11,390,0.00
14,Entry short,2025-03-26 07:15,Short trade,42935,3,644025,-720,-0.11,150,0.02,-720,-0.11,390,0.00
15,Exit short,2025-03-26 09:00,Exit Short,43034,3,645885,375,0.06,375,0.06,0,0.00,765,0.00
15,Entry short,2025-03-26 09:00,Short trade,43059,3,645885,375,0.06,375,0.06,0,0.00,765,0.00
16,Exit short,2025-04-01 02:30,Exit Short,42191,3,633240,375,0.06,375,0.06,-195,-0.03,1140,0.00
16,Entry short,2025-04-01 02:30,Short trade,42216,3,633240,375,0.06,375,0.06,-195,-0.03,1140,0.00
17,Exit long,2025-04-03 02:30,Exit Long,41434,3,622290,-780,-0.13,180,0.03,-780,-0.13,360,0.00
17,Entry long,2025-04-03 02:30,Long trade,41486,3,622290,-780,-0.13,180,0.03,-780,-0.13,360,0.00
18,Exit long,2025-04-03 05:15,Exit Long,41346,3,619755,435,0.07,435,0.07,0,0.00,795,0.00
18,Entry long,2025-04-03 05:15,Long trade,41317,3,619755,435,0.07,435,0.07,0,0.00,795,0.00
19,Exit long,2025-04-03 07:15,Exit Long,41303,3,620235,-690,-0.11,30,0.00,-690,-0.11,105,0.00
19,Entry long,2025-04-03 07:15,Long trade,41349,3,620235,-690,-0.11,30,0.00,-690,-0.11,105,0.00
20,Exit long,2025-04-04 03:15,Exit Long,40455,3,606435,390,0.06,390,0.06,-630,-0.10,495,0.00
20,Entry long,2025-04-04 03:15,Long trade,40429,3,606435,390,0.06,390,0.06,-630,-0.10,495,0.00
21,Exit long,2025-04-04 06:15,Exit Long,39609,3,593790,345,0.06,345,0.06,0,0.00,840,0.00
21,Entry long,2025-04-04 06:15,Long trade,39586,3,593790,345,0.06,345,0.06,0,0.00,840,0.00
22,Exit long,2025-04-04 07:00,Exit Long,39600,3,594750,-750,-0.13,210,0.04,-750,-0.13,90,0.00
22,Entry long,2025-04-04 07:00,Long trade,39650,3,594750,-750,-0.13,210,0.04,-750,-0.13,90,0.00
23,Exit long,2025-04-07 01:45,Exit Long,37068,3,555735,285,0.05,285,0.05,0,0.00,375,0.00
23,Entry long,2025-04-07 01:45,Long trade,37049,3,555735,285,0.05,285,0.05,0,0.00,375,0.00
24,Exit long,2025-04-07 02:15,Exit Long,37114,3,556395,315,0.06,315,0.06,0,0.00,690,0.00
24,Entry long,2025-04-07 02:15,Long trade,37093,3,556395,315,0.06,315,0.06,0,0.00,690,0.00
