Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-10 05:00,Close entry(s) order Long trade,5705.5,7,200025,-332.5,-0.17,148.75,0.07,-446.25,-0.22,-332.5,0.00
1,Entry long,2025-03-10 04:45,Long trade,5715,7,200025,-332.5,-0.17,148.75,0.07,-446.25,-0.22,-332.5,0.00
2,Exit long,2025-03-10 21:15,Close entry(s) order Long trade,5564.5,7,195063.75,-306.25,-0.16,148.75,0.08,-542.5,-0.28,-638.75,0.00
2,Entry long,2025-03-10 21:00,Long trade,5573.25,7,195063.75,-306.25,-0.16,148.75,0.08,-542.5,-0.28,-638.75,0.00
3,Exit long,2025-03-13 01:00,Close entry(s) order Long trade,5580.5,7,195588.75,-271.25,-0.14,183.75,0.09,-393.75,-0.20,-910,0.00
3,Entry long,2025-03-13 00:00,Long trade,5588.25,7,195588.75,-271.25,-0.14,183.75,0.09,-393.75,-0.20,-910,0.00
4,Exit short,2025-03-14 09:15,Exit Short,5574.5,7,195545,437.5,0.22,437.5,0.22,-35,-0.02,-472.5,0.00
4,Entry short,2025-03-14 08:30,Short trade,5587,7,195545,437.5,0.22,437.5,0.22,-35,-0.02,-472.5,0.00
5,Exit short,2025-03-17 07:15,Close entry(s) order Short trade,5632,7,196805,-315,-0.16,0,0.00,-350,-0.18,-787.5,0.00
5,Entry short,2025-03-17 06:45,Short trade,5623,7,196805,-315,-0.16,0,0.00,-350,-0.18,-787.5,0.00
6,Exit long,2025-03-20 06:00,Close entry(s) order Long trade,5730,7,200760,-210,-0.10,17.5,0.01,-341.25,-0.17,-997.5,0.00
6,Entry long,2025-03-20 05:45,Long trade,5736,7,200760,-210,-0.10,17.5,0.01,-341.25,-0.17,-997.5,0.00
7,Exit long,2025-03-21 02:45,Exit Long,5714,7,199552.5,437.5,0.22,437.5,0.22,-78.75,-0.04,-560,0.00
7,Entry long,2025-03-21 01:45,Long trade,5701.5,7,199552.5,437.5,0.22,437.5,0.22,-78.75,-0.04,-560,0.00
8,Exit long,2025-03-21 06:00,Exit Long,5699.25,7,199027.5,446.25,0.22,446.25,0.22,-78.75,-0.04,-113.75,0.00
8,Entry long,2025-03-21 04:45,Long trade,5686.5,7,199027.5,446.25,0.22,446.25,0.22,-78.75,-0.04,-113.75,0.00
9,Exit short,2025-03-24 02:45,Close entry(s) order Short trade,5758.75,7,201337.5,-218.75,-0.11,61.25,0.03,-236.25,-0.12,-332.5,0.00
9,Entry short,2025-03-23 20:00,Short trade,5752.5,7,201337.5,-218.75,-0.11,61.25,0.03,-236.25,-0.12,-332.5,0.00
10,Exit short,2025-03-25 08:30,Close entry(s) order Short trade,5829.75,7,203822.5,-218.75,-0.11,8.75,0.00,-245,-0.12,-551.25,0.00
10,Entry short,2025-03-25 07:45,Short trade,5823.5,7,203822.5,-218.75,-0.11,8.75,0.00,-245,-0.12,-551.25,0.00
11,Exit long,2025-03-26 07:45,Exit Long,5830,7,203621.25,428.75,0.21,428.75,0.21,-148.75,-0.07,-122.5,0.00
11,Entry long,2025-03-26 02:30,Long trade,5817.75,7,203621.25,428.75,0.21,428.75,0.21,-148.75,-0.07,-122.5,0.00
12,Exit long,2025-03-28 04:00,Close entry(s) order Long trade,5712.5,7,200191.25,-253.75,-0.13,105,0.05,-280,-0.14,-376.25,0.00
12,Entry long,2025-03-28 03:45,Long trade,5719.75,7,200191.25,-253.75,-0.13,105,0.05,-280,-0.14,-376.25,0.00
13,Exit long,2025-03-30 20:45,Close entry(s) order Long trade,5577.5,7,195440,-227.5,-0.12,341.25,0.17,-367.5,-0.19,-603.75,0.00
13,Entry long,2025-03-30 19:30,Long trade,5584,7,195440,-227.5,-0.12,341.25,0.17,-367.5,-0.19,-603.75,0.00
14,Exit long,2025-04-02 08:00,Close entry(s) order Long trade,5635,7,197443.75,-218.75,-0.11,201.25,0.10,-262.5,-0.13,-822.5,0.00
14,Entry long,2025-04-02 06:45,Long trade,5641.25,7,197443.75,-218.75,-0.11,201.25,0.10,-262.5,-0.13,-822.5,0.00
15,Exit long,2025-04-02 18:45,Exit Long,5526.5,7,192998.75,428.75,0.22,428.75,0.22,0,0.00,-393.75,0.00
15,Entry long,2025-04-02 18:45,Long trade,5514.25,7,192998.75,428.75,0.22,428.75,0.22,0,0.00,-393.75,0.00
16,Exit long,2025-04-02 19:45,Close entry(s) order Long trade,5506.5,7,193480,-752.5,-0.39,26.25,0.01,-1015,-0.52,-1146.25,0.00
16,Entry long,2025-04-02 19:00,Long trade,5528,7,193480,-752.5,-0.39,26.25,0.01,-1015,-0.52,-1146.25,0.00
17,Exit long,2025-04-04 00:45,Close entry(s) order Long trade,5389.5,7,188912.5,-280,-0.15,253.75,0.13,-358.75,-0.19,-1426.25,0.00
17,Entry long,2025-04-03 23:45,Long trade,5397.5,7,188912.5,-280,-0.15,253.75,0.13,-358.75,-0.19,-1426.25,0.00
18,Exit long,2025-04-06 19:15,Close entry(s) order Long trade,4875,7,171150,-525,-0.31,280,0.16,-1338.75,-0.78,-1951.25,0.00
18,Entry long,2025-04-06 18:45,Long trade,4890,7,171150,-525,-0.31,280,0.16,-1338.75,-0.78,-1951.25,0.00
19,Exit long,2025-04-08 19:30,Exit Long,4944,7,172602.5,437.5,0.25,437.5,0.25,-113.75,-0.07,-1513.75,0.00
19,Entry long,2025-04-08 19:30,Long trade,4931.5,7,172602.5,437.5,0.25,437.5,0.25,-113.75,-0.07,-1513.75,0.00
20,Exit long,2025-04-08 19:45,Exit Long,4941.75,7,172515,446.25,0.26,446.25,0.26,-61.25,-0.04,-1067.5,0.00
20,Entry long,2025-04-08 19:45,Long trade,4929,7,172515,446.25,0.26,446.25,0.26,-61.25,-0.04,-1067.5,0.00
21,Exit long,2025-04-09 00:30,Exit Long,4903.75,7,171185,446.25,0.26,446.25,0.26,-227.5,-0.13,-621.25,0.00
21,Entry long,2025-04-09 00:30,Long trade,4891,7,171185,446.25,0.26,446.25,0.26,-227.5,-0.13,-621.25,0.00
22,Exit short,2025-04-09 20:00,Exit Short,5505.75,7,193147.5,446.25,0.23,446.25,0.23,-358.75,-0.19,-175,0.00
22,Entry short,2025-04-09 18:45,Short trade,5518.5,7,193147.5,446.25,0.23,446.25,0.23,-358.75,-0.19,-175,0.00
23,Exit long,2025-04-10 03:45,Exit Long,5412.75,7,189008.75,437.5,0.23,437.5,0.23,-61.25,-0.03,262.5,0.00
23,Entry long,2025-04-10 03:45,Long trade,5400.25,7,189008.75,437.5,0.23,437.5,0.23,-61.25,-0.03,262.5,0.00
24,Exit long,2025-04-10 04:00,Exit Long,5413.75,7,189043.75,437.5,0.23,437.5,0.23,-175,-0.09,700,0.00
24,Entry long,2025-04-10 04:00,Long trade,5401.25,7,189043.75,437.5,0.23,437.5,0.23,-175,-0.09,700,0.00
25,Exit short,2025-04-11 02:30,Exit Short,5353.75,7,187818.75,437.5,0.23,437.5,0.23,-332.5,-0.18,1137.5,0.00
25,Entry short,2025-04-11 02:15,Short trade,5366.25,7,187818.75,437.5,0.23,437.5,0.23,-332.5,-0.18,1137.5,0.00
26,Exit short,2025-04-15 04:00,Exit Short,5449.25,7,191161.25,437.5,0.23,437.5,0.23,-8.75,0.00,1575,0.00
26,Entry short,2025-04-15 03:45,Short trade,5461.75,7,191161.25,437.5,0.23,437.5,0.23,-8.75,0.00,1575,0.00
27,Exit long,2025-04-15 20:15,Close entry(s) order Long trade,5377.75,7,188483.75,-262.5,-0.14,113.75,0.06,-297.5,-0.16,1312.5,0.00
27,Entry long,2025-04-15 19:15,Long trade,5385.25,7,188483.75,-262.5,-0.14,113.75,0.06,-297.5,-0.16,1312.5,0.00
28,Exit short,2025-04-17 04:15,Exit Short,5357.25,7,187941.25,437.5,0.23,437.5,0.23,-8.75,0.00,1750,0.00
28,Entry short,2025-04-17 03:30,Short trade,5369.75,7,187941.25,437.5,0.23,437.5,0.23,-8.75,0.00,1750,0.00
29,Exit long,2025-04-21 07:00,Exit Long,5266.25,7,183890,428.75,0.23,428.75,0.23,-140,-0.08,2178.75,0.00
29,Entry long,2025-04-21 04:00,Long trade,5254,7,183890,428.75,0.23,428.75,0.23,-140,-0.08,2178.75,0.00
30,Exit short,2025-04-21 23:00,Exit Short,5209,7,182761.25,446.25,0.24,446.25,0.24,-78.75,-0.04,2625,0.00
30,Entry short,2025-04-21 21:45,Short trade,5221.75,7,182761.25,446.25,0.24,446.25,0.24,-78.75,-0.04,2625,0.00
31,Exit short,2025-04-22 03:00,Exit Short,5235.75,7,183688.75,437.5,0.24,437.5,0.24,-218.75,-0.12,3062.5,0.00
31,Entry short,2025-04-22 03:00,Short trade,5248.25,7,183688.75,437.5,0.24,437.5,0.24,-218.75,-0.12,3062.5,0.00
32,Exit short,2025-04-22 19:00,Close entry(s) order Short trade,5416.75,7,189183.75,-402.5,-0.21,148.75,0.08,-437.5,-0.23,2660,0.00
32,Entry short,2025-04-22 18:45,Short trade,5405.25,7,189183.75,-402.5,-0.21,148.75,0.08,-437.5,-0.23,2660,0.00
33,Exit long,2025-04-24 05:45,Exit Long,5378,7,187792.5,437.5,0.23,437.5,0.23,-350,-0.19,3097.5,0.00
33,Entry long,2025-04-24 04:30,Long trade,5365.5,7,187792.5,437.5,0.23,437.5,0.23,-350,-0.19,3097.5,0.00
34,Exit short,2025-04-24 21:00,Close entry(s) order Short trade,5540.25,7,193672.5,-236.25,-0.12,332.5,0.17,-323.75,-0.17,2861.25,0.00
34,Entry short,2025-04-24 18:45,Short trade,5533.5,7,193672.5,-236.25,-0.12,332.5,0.17,-323.75,-0.17,2861.25,0.00
35,Exit short,2025-04-28 22:45,Exit Short,5559.25,7,195011.25,437.5,0.22,437.5,0.22,-70,-0.04,3298.75,0.00
35,Entry short,2025-04-28 22:15,Short trade,5571.75,7,195011.25,437.5,0.22,437.5,0.22,-70,-0.04,3298.75,0.00
36,Exit long,2025-04-30 02:00,Exit Long,5564.25,7,194302.5,446.25,0.23,446.25,0.23,-61.25,-0.03,3745,0.00
36,Entry long,2025-04-29 23:15,Long trade,5551.5,7,194302.5,446.25,0.23,446.25,0.23,-61.25,-0.03,3745,0.00
37,Exit long,2025-05-05 02:30,Exit Long,5679.75,7,198353.75,437.5,0.22,437.5,0.22,-245,-0.12,4182.5,0.00
