Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-10 08:15,Close entry(s) order Long trade,5696.75,10,285750,-912.5,-0.32,825,0.29,-1187.5,-0.42,-912.5,0.00
1,Entry long,2025-03-10 04:45,Long trade,5715,10,285750,-912.5,-0.32,825,0.29,-1187.5,-0.42,-912.5,0.00
2,Exit short,2025-03-11 08:15,Close entry(s) order Short trade,5625.25,10,282012.5,750,0.27,762.5,0.27,-562.5,-0.20,-162.5,0.00
2,Entry short,2025-03-11 04:15,Short trade,5640.25,10,282012.5,750,0.27,762.5,0.27,-562.5,-0.20,-162.5,0.00
3,Exit short,2025-03-12 08:15,Close entry(s) order Short trade,5619,10,280550,-400,-0.14,275,0.10,-825,-0.29,-562.5,0.00
3,Entry short,2025-03-12 05:00,Short trade,5611,10,280550,-400,-0.14,275,0.10,-825,-0.29,-562.5,0.00
4,Exit long,2025-03-13 05:15,Exit Long,5591.75,10,278350,1237.5,0.44,1237.5,0.44,-387.5,-0.14,675,0.00
4,Entry long,2025-03-13 04:00,Long trade,5567,10,278350,1237.5,0.44,1237.5,0.44,-387.5,-0.14,675,0.00
5,Exit short,2025-03-14 08:15,Close entry(s) order Short trade,5576.75,10,278487.5,-350,-0.13,550,0.20,-487.5,-0.18,325,0.00
5,Entry short,2025-03-14 04:30,Short trade,5569.75,10,278487.5,-350,-0.13,550,0.20,-487.5,-0.18,325,0.00
6,Exit short,2025-03-17 08:15,Close entry(s) order Short trade,5622.25,10,280662.5,-450,-0.16,150,0.05,-1062.5,-0.38,-125,0.00
6,Entry short,2025-03-17 05:00,Short trade,5613.25,10,280662.5,-450,-0.16,150,0.05,-1062.5,-0.38,-125,0.00
7,Exit long,2025-03-19 06:00,Exit Long,5685,10,283012.5,1237.5,0.44,1237.5,0.44,-137.5,-0.05,1112.5,0.00
7,Entry long,2025-03-19 03:45,Long trade,5660.25,10,283012.5,1237.5,0.44,1237.5,0.44,-137.5,-0.05,1112.5,0.00
8,Exit short,2025-03-19 08:15,Close entry(s) order Short trade,5681.75,10,284250,162.5,0.06,337.5,0.12,-175,-0.06,1275,0.00
8,Entry short,2025-03-19 06:30,Short trade,5685,10,284250,162.5,0.06,337.5,0.12,-175,-0.06,1275,0.00
9,Exit long,2025-03-20 06:15,Exit Long,5691.5,10,287075,-2500,-0.87,37.5,0.01,-2500,-0.87,-1225,0.00
9,Entry long,2025-03-20 05:30,Long trade,5741.5,10,287075,-2500,-0.87,37.5,0.01,-2500,-0.87,-1225,0.00
10,Exit long,2025-03-21 08:15,Close entry(s) order Long trade,5702,10,284500,600,0.21,750,0.26,-300,-0.11,-625,0.00
10,Entry long,2025-03-21 04:30,Long trade,5690,10,284500,600,0.21,750,0.26,-300,-0.11,-625,0.00
11,Exit short,2025-03-24 08:15,Close entry(s) order Short trade,5783,10,288812.5,-337.5,-0.12,400,0.14,-550,-0.19,-962.5,0.00
11,Entry short,2025-03-24 04:15,Short trade,5776.25,10,288812.5,-337.5,-0.12,400,0.14,-550,-0.19,-962.5,0.00
12,Exit short,2025-03-25 08:15,Close entry(s) order Short trade,5829,10,290862.5,-587.5,-0.20,112.5,0.04,-650,-0.22,-1550,0.00
12,Entry short,2025-03-25 06:45,Short trade,5817.25,10,290862.5,-587.5,-0.20,112.5,0.04,-650,-0.22,-1550,0.00
13,Exit long,2025-03-28 07:15,Close entry(s) order Long trade,5728.5,10,286437.5,-12.5,0.00,550,0.19,-850,-0.30,-1562.5,0.00
13,Entry long,2025-03-28 03:15,Long trade,5728.75,10,286437.5,-12.5,0.00,550,0.19,-850,-0.30,-1562.5,0.00
14,Exit long,2025-03-31 07:15,Close entry(s) order Long trade,5565.75,10,278237.5,50,0.02,650,0.23,-50,-0.02,-1512.5,0.00
14,Entry long,2025-03-31 05:15,Long trade,5564.75,10,278237.5,50,0.02,650,0.23,-50,-0.02,-1512.5,0.00
15,Exit short,2025-04-01 07:15,Close entry(s) order Short trade,5629.5,10,282325,850,0.30,1162.5,0.41,-850,-0.30,-662.5,0.00
15,Entry short,2025-04-01 03:30,Short trade,5646.5,10,282325,850,0.30,1162.5,0.41,-850,-0.30,-662.5,0.00
16,Exit long,2025-04-02 07:15,Close entry(s) order Long trade,5642.25,10,282975,-862.5,-0.30,325,0.11,-1075,-0.38,-1525,0.00
16,Entry long,2025-04-02 04:00,Long trade,5659.5,10,282975,-862.5,-0.30,325,0.11,-1075,-0.38,-1525,0.00
17,Exit long,2025-04-03 04:15,Exit Long,5552.5,10,276387.5,1237.5,0.45,1237.5,0.45,-150,-0.05,-287.5,0.00
17,Entry long,2025-04-03 03:15,Long trade,5527.75,10,276387.5,1237.5,0.45,1237.5,0.45,-150,-0.05,-287.5,0.00
18,Exit long,2025-04-03 07:15,Close entry(s) order Long trade,5526.5,10,275812.5,512.5,0.19,650,0.24,-650,-0.24,225,0.00
18,Entry long,2025-04-03 06:15,Long trade,5516.25,10,275812.5,512.5,0.19,650,0.24,-650,-0.24,225,0.00
19,Exit long,2025-04-04 06:15,Exit Long,5338.25,10,269437.5,-2525,-0.94,350,0.13,-2525,-0.94,-2300,0.00
19,Entry long,2025-04-04 05:15,Long trade,5388.75,10,269437.5,-2525,-0.94,350,0.13,-2525,-0.94,-2300,0.00
20,Exit long,2025-04-07 03:15,Exit Long,4887.5,10,243150,1225,0.50,1225,0.50,-1037.5,-0.43,-1075,0.00
20,Entry long,2025-04-07 03:00,Long trade,4863,10,243150,1225,0.50,1225,0.50,-1037.5,-0.43,-1075,0.00
21,Exit long,2025-04-07 04:00,Exit Long,4885.75,10,243062.5,1225,0.50,1225,0.50,-500,-0.21,150,0.00
21,Entry long,2025-04-07 03:30,Long trade,4861.25,10,243062.5,1225,0.50,1225,0.50,-500,-0.21,150,0.00
22,Exit short,2025-04-08 04:15,Exit Short,5164.5,10,259450,1225,0.47,1225,0.47,0,0.00,1375,0.00
22,Entry short,2025-04-08 03:30,Short trade,5189,10,259450,1225,0.47,1225,0.47,0,0.00,1375,0.00
23,Exit short,2025-04-09 04:30,Exit Short,4989,10,250687.5,1237.5,0.49,1237.5,0.49,-1887.5,-0.75,2612.5,0.00
23,Entry short,2025-04-09 03:30,Short trade,5013.75,10,250687.5,1237.5,0.49,1237.5,0.49,-1887.5,-0.75,2612.5,0.00
24,Exit long,2025-04-10 03:45,Exit Long,5424.75,10,270012.5,1225,0.45,1225,0.45,-87.5,-0.03,3837.5,0.00
24,Entry long,2025-04-10 03:45,Long trade,5400.25,10,270012.5,1225,0.45,1225,0.45,-87.5,-0.03,3837.5,0.00
25,Exit long,2025-04-10 06:30,Exit Long,5425.75,10,270062.5,1225,0.45,1225,0.45,-2075,-0.77,5062.5,0.01
25,Entry long,2025-04-10 04:00,Long trade,5401.25,10,270062.5,1225,0.45,1225,0.45,-2075,-0.77,5062.5,0.01
26,Exit long,2025-04-11 05:15,Exit Long,5292.25,10,263387.5,1225,0.47,1225,0.47,-237.5,-0.09,6287.5,0.01
26,Entry long,2025-04-11 04:45,Long trade,5267.75,10,263387.5,1225,0.47,1225,0.47,-237.5,-0.09,6287.5,0.01
27,Exit short,2025-04-11 07:15,Close entry(s) order Short trade,5331.75,10,266750,162.5,0.06,337.5,0.13,-1200,-0.45,6450,0.01
27,Entry short,2025-04-11 06:15,Short trade,5335,10,266750,162.5,0.06,337.5,0.13,-1200,-0.45,6450,0.01
28,Exit short,2025-04-14 07:15,Close entry(s) order Short trade,5476.5,10,273262.5,-562.5,-0.21,1037.5,0.38,-675,-0.25,5887.5,0.01
28,Entry short,2025-04-14 03:45,Short trade,5465.25,10,273262.5,-562.5,-0.21,1037.5,0.38,-675,-0.25,5887.5,0.01
29,Exit short,2025-04-15 07:15,Close entry(s) order Short trade,5443,10,272575,425,0.16,637.5,0.23,-600,-0.22,6312.5,0.01
29,Entry short,2025-04-15 03:15,Short trade,5451.5,10,272575,425,0.16,637.5,0.23,-600,-0.22,6312.5,0.01
