Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-04-01 03:45,Exit Long,5639.25,1,282325,-362.5,-0.13,100,0.04,-362.5,-0.13,-362.5,0.00
1,Entry long,2025-04-01 03:30,Long trade,5646.5,1,282325,-362.5,-0.13,100,0.04,-362.5,-0.13,-362.5,0.00
2,Exit long,2025-04-01 05:30,Exit Long,5659,1,282762.5,187.5,0.07,187.5,0.07,-37.5,-0.01,-175,0.00
2,Entry long,2025-04-01 05:30,Long trade,5655.25,1,282762.5,187.5,0.07,187.5,0.07,-37.5,-0.01,-175,0.00
3,Exit long,2025-04-01 11:45,Exit Long,5679.75,1,283800,187.5,0.07,187.5,0.07,-187.5,-0.07,12.5,0.00
3,Entry long,2025-04-01 11:45,Long trade,5676,1,283800,187.5,0.07,187.5,0.07,-187.5,-0.07,12.5,0.00
4,Exit long,2025-04-01 12:30,Exit Long,5665,1,283625,-375,-0.13,150,0.05,-375,-0.13,-362.5,0.00
4,Entry long,2025-04-01 12:30,Long trade,5672.5,1,283625,-375,-0.13,150,0.05,-375,-0.13,-362.5,0.00
5,Exit short,2025-04-02 03:30,Exit Short,5658.75,1,283100,162.5,0.06,162.5,0.06,-212.5,-0.08,-200,0.00
5,Entry short,2025-04-02 03:15,Short trade,5662,1,283100,162.5,0.06,162.5,0.06,-212.5,-0.08,-200,0.00
6,Exit short,2025-04-02 04:00,Exit Short,5655.75,1,282975,187.5,0.07,187.5,0.07,-12.5,0.00,-12.5,0.00
6,Entry short,2025-04-02 04:00,Short trade,5659.5,1,282975,187.5,0.07,187.5,0.07,-12.5,0.00,-12.5,0.00
7,Exit long,2025-04-02 11:45,Exit Long,5681.25,1,284412.5,-350,-0.12,150,0.05,-350,-0.12,-362.5,0.00
7,Entry long,2025-04-02 11:45,Long trade,5688.25,1,284412.5,-350,-0.12,150,0.05,-350,-0.12,-362.5,0.00
8,Exit short,2025-04-03 03:30,Exit Short,5537.75,1,277100,212.5,0.08,212.5,0.08,-100,-0.04,-150,0.00
8,Entry short,2025-04-03 03:30,Short trade,5542,1,277100,212.5,0.08,212.5,0.08,-100,-0.04,-150,0.00
9,Exit short,2025-04-03 06:00,Exit Short,5521.75,1,276300,212.5,0.08,212.5,0.08,-200,-0.07,62.5,0.00
9,Entry short,2025-04-03 06:00,Short trade,5526,1,276300,212.5,0.08,212.5,0.08,-200,-0.07,62.5,0.00
10,Exit short,2025-04-04 05:45,Exit Short,5386.25,1,269500,187.5,0.07,187.5,0.07,-262.5,-0.10,250,0.00
10,Entry short,2025-04-04 05:45,Short trade,5390,1,269500,187.5,0.07,187.5,0.07,-262.5,-0.10,250,0.00
11,Exit short,2025-04-07 03:15,Exit Short,4885.25,1,243900,-362.5,-0.15,0,0.00,-362.5,-0.15,-112.5,0.00
11,Entry short,2025-04-07 03:15,Short trade,4878,1,243900,-362.5,-0.15,0,0.00,-362.5,-0.15,-112.5,0.00
12,Exit short,2025-04-07 03:30,Exit Short,4857.75,1,243050,162.5,0.07,162.5,0.07,0,0.00,50,0.00
12,Entry short,2025-04-07 03:30,Short trade,4861,1,243050,162.5,0.07,162.5,0.07,0,0.00,50,0.00
13,Exit long,2025-04-08 03:45,Exit Long,5185,1,259075,175,0.07,175,0.07,0,0.00,225,0.00
13,Entry long,2025-04-08 03:45,Long trade,5181.5,1,259075,175,0.07,175,0.07,0,0.00,225,0.00
14,Exit short,2025-04-08 12:30,Exit Short,5188.75,1,259625,187.5,0.07,187.5,0.07,-325,-0.13,412.5,0.00
14,Entry short,2025-04-08 12:30,Short trade,5192.5,1,259625,187.5,0.07,187.5,0.07,-325,-0.13,412.5,0.00
15,Exit long,2025-04-09 03:30,Exit Long,5006,1,250687.5,-387.5,-0.15,0,0.00,-387.5,-0.15,25,0.00
15,Entry long,2025-04-09 03:30,Long trade,5013.75,1,250687.5,-387.5,-0.15,0,0.00,-387.5,-0.15,25,0.00
16,Exit long,2025-04-09 04:00,Exit Long,5037.5,1,251700,175,0.07,175,0.07,0,0.00,200,0.00
16,Entry long,2025-04-09 04:00,Long trade,5034,1,251700,175,0.07,175,0.07,0,0.00,200,0.00
17,Exit short,2025-04-10 05:15,Exit Short,5373.5,1,268875,200,0.07,200,0.07,0,0.00,400,0.00
17,Entry short,2025-04-10 05:15,Short trade,5377.5,1,268875,200,0.07,200,0.07,0,0.00,400,0.00
18,Exit short,2025-04-10 12:45,Exit Short,5226.25,1,261487.5,175,0.07,175,0.07,0,0.00,575,0.00
18,Entry short,2025-04-10 12:45,Short trade,5229.75,1,261487.5,175,0.07,175,0.07,0,0.00,575,0.00
19,Exit short,2025-04-11 04:30,Exit Short,5283.75,1,264375,187.5,0.07,187.5,0.07,-275,-0.10,762.5,0.00
19,Entry short,2025-04-11 04:30,Short trade,5287.5,1,264375,187.5,0.07,187.5,0.07,-275,-0.10,762.5,0.00
20,Exit short,2025-04-11 05:00,Exit Short,5283.5,1,263812.5,-362.5,-0.14,0,0.00,-362.5,-0.14,400,0.00
20,Entry short,2025-04-11 05:00,Short trade,5276.25,1,263812.5,-362.5,-0.14,0,0.00,-362.5,-0.14,400,0.00
21,Exit long,2025-04-14 03:45,Exit Long,5468.75,1,273250,187.5,0.07,187.5,0.07,-37.5,-0.01,587.5,0.00
21,Entry long,2025-04-14 03:45,Long trade,5465,1,273250,187.5,0.07,187.5,0.07,-37.5,-0.01,587.5,0.00
22,Exit long,2025-04-14 04:00,Exit Long,5470.75,1,273350,187.5,0.07,187.5,0.07,-212.5,-0.08,775,0.00
22,Entry long,2025-04-14 04:00,Long trade,5467,1,273350,187.5,0.07,187.5,0.07,-212.5,-0.08,775,0.00
23,Exit short,2025-04-14 12:30,Exit Short,5406.75,1,270525,187.5,0.07,187.5,0.07,0,0.00,962.5,0.00
23,Entry short,2025-04-14 12:30,Short trade,5410.5,1,270525,187.5,0.07,187.5,0.07,0,0.00,962.5,0.00
24,Exit long,2025-04-15 04:15,Exit Long,5459.5,1,272787.5,187.5,0.07,187.5,0.07,0,0.00,1150,0.00
24,Entry long,2025-04-15 04:15,Long trade,5455.75,1,272787.5,187.5,0.07,187.5,0.07,0,0.00,1150,0.00
25,Exit long,2025-04-16 04:45,Exit Long,5407.75,1,270725,-337.5,-0.12,0,0.00,-337.5,-0.12,812.5,0.00
25,Entry long,2025-04-16 04:45,Long trade,5414.5,1,270725,-337.5,-0.12,0,0.00,-337.5,-0.12,812.5,0.00
26,Exit long,2025-04-17 03:45,Exit Long,5364,1,268012.5,187.5,0.07,187.5,0.07,-62.5,-0.02,1000,0.00
