Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-17 06:15,Exit Short,41364,4,827800,520,0.06,520,0.06,-680,-0.08,520,0.00
1,Entry short,2025-03-17 06:00,Short trade,41390,4,827800,520,0.06,520,0.06,-680,-0.08,520,0.00
2,Exit short,2025-03-17 08:45,Exit Short,41734,4,835220,540,0.06,540,0.06,-720,-0.09,1060,0.00
2,Entry short,2025-03-17 08:45,Short trade,41761,4,835220,540,0.06,540,0.06,-720,-0.09,1060,0.00
3,Exit short,2025-03-17 09:00,Exit Short,41676,4,833960,440,0.05,440,0.05,-420,-0.05,1500,0.00
3,Entry short,2025-03-17 09:00,Short trade,41698,4,833960,440,0.05,440,0.05,-420,-0.05,1500,0.00
4,Exit short,2025-03-18 05:00,Exit Short,42178,4,843960,400,0.05,400,0.05,-980,-0.12,1900,0.00
4,Entry short,2025-03-18 03:45,Short trade,42198,4,843960,400,0.05,400,0.05,-980,-0.12,1900,0.00
5,Exit short,2025-03-19 09:15,Close entry(s) order Short trade,42144,4,842980,100,0.01,360,0.04,-540,-0.06,2000,0.00
5,Entry short,2025-03-19 09:00,Short trade,42149,4,842980,100,0.01,360,0.04,-540,-0.06,2000,0.00
6,Exit short,2025-03-24 03:00,Exit Short,42647,4,851920,-1020,-0.12,140,0.02,-1020,-0.12,980,0.00
6,Entry short,2025-03-24 03:00,Short trade,42596,4,851920,-1020,-0.12,140,0.02,-1020,-0.12,980,0.00
7,Exit short,2025-03-24 04:30,Exit Short,42622,4,852920,480,0.06,480,0.06,-780,-0.09,1460,0.00
7,Entry short,2025-03-24 03:30,Short trade,42646,4,852920,480,0.06,480,0.06,-780,-0.09,1460,0.00
8,Exit short,2025-03-24 08:15,Exit Short,42705,4,854600,500,0.06,500,0.06,-580,-0.07,1960,0.00
8,Entry short,2025-03-24 07:45,Short trade,42730,4,854600,500,0.06,500,0.06,-580,-0.07,1960,0.00
9,Exit short,2025-03-24 09:00,Exit Short,42794,4,856360,480,0.06,480,0.06,-520,-0.06,2440,0.00
9,Entry short,2025-03-24 09:00,Short trade,42818,4,856360,480,0.06,480,0.06,-520,-0.06,2440,0.00
10,Exit short,2025-03-25 06:45,Exit Short,42963,4,858280,-980,-0.11,20,0.00,-980,-0.11,1460,0.00
10,Entry short,2025-03-25 06:30,Short trade,42914,4,858280,-980,-0.11,20,0.00,-980,-0.11,1460,0.00
11,Exit short,2025-03-25 08:30,Exit Short,43014,4,859280,-1000,-0.12,0,0.00,-1000,-0.12,460,0.00
11,Entry short,2025-03-25 08:30,Short trade,42964,4,859280,-1000,-0.12,0,0.00,-1000,-0.12,460,0.00
12,Exit short,2025-03-26 07:30,Exit Short,42983,4,858700,-960,-0.11,200,0.02,-960,-0.11,-500,0.00
12,Entry short,2025-03-26 07:15,Short trade,42935,4,858700,-960,-0.11,200,0.02,-960,-0.11,-500,0.00
13,Exit short,2025-03-26 09:00,Exit Short,43034,4,861180,500,0.06,500,0.06,0,0.00,0,0.00
13,Entry short,2025-03-26 09:00,Short trade,43059,4,861180,500,0.06,500,0.06,0,0.00,0,0.00
14,Exit short,2025-04-01 02:30,Exit Short,42191,4,844320,500,0.06,500,0.06,-260,-0.03,500,0.00
14,Entry short,2025-04-01 02:30,Short trade,42216,4,844320,500,0.06,500,0.06,-260,-0.03,500,0.00
15,Exit long,2025-04-03 02:30,Exit Long,41434,4,829720,-1040,-0.13,240,0.03,-1040,-0.13,-540,0.00
15,Entry long,2025-04-03 02:30,Long trade,41486,4,829720,-1040,-0.13,240,0.03,-1040,-0.13,-540,0.00
16,Exit long,2025-04-03 05:15,Exit Long,41346,4,826340,580,0.07,580,0.07,0,0.00,40,0.00
16,Entry long,2025-04-03 05:15,Long trade,41317,4,826340,580,0.07,580,0.07,0,0.00,40,0.00
17,Exit long,2025-04-03 07:15,Exit Long,41303,4,826980,-920,-0.11,40,0.00,-920,-0.11,-880,0.00
