Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-07 06:00,Exit Short,1.08495,1,135812.5,193.75,0.14,193.75,0.14,-137.5,-0.10,193.75,0.00
1,Entry short,2025-03-07 04:00,Short trade,1.0865,1,135812.5,193.75,0.14,193.75,0.14,-137.5,-0.10,193.75,0.00
2,Exit long,2025-03-10 05:15,Exit Long,1.0829,1,135168.75,193.75,0.14,193.75,0.14,-50,-0.04,387.5,0.00
2,Entry long,2025-03-10 04:45,Long trade,1.08135,1,135168.75,193.75,0.14,193.75,0.14,-50,-0.04,387.5,0.00
3,Exit long,2025-03-12 08:30,Exit Long,1.09015,1,136075,193.75,0.14,193.75,0.14,-56.25,-0.04,581.25,0.00
3,Entry long,2025-03-12 08:30,Long trade,1.0886,1,136075,193.75,0.14,193.75,0.14,-56.25,-0.04,581.25,0.00
4,Exit long,2025-03-12 10:30,Exit Long,1.09005,1,136062.5,193.75,0.14,193.75,0.14,-81.25,-0.06,775,0.00
4,Entry long,2025-03-12 08:45,Long trade,1.0885,1,136062.5,193.75,0.14,193.75,0.14,-81.25,-0.06,775,0.00
5,Exit long,2025-03-13 08:45,Exit Long,1.0834,1,135937.5,-512.5,-0.38,143.75,0.11,-512.5,-0.38,262.5,0.00
5,Entry long,2025-03-13 04:45,Long trade,1.0875,1,135937.5,-512.5,-0.38,143.75,0.11,-512.5,-0.38,262.5,0.00
6,Exit short,2025-03-14 09:00,Exit Short,1.0944,1,136993.75,193.75,0.14,193.75,0.14,-87.5,-0.06,456.25,0.00
6,Entry short,2025-03-14 07:30,Short trade,1.09595,1,136993.75,193.75,0.14,193.75,0.14,-87.5,-0.06,456.25,0.00
7,Exit long,2025-03-20 08:00,Exit Long,1.09065,1,136137.5,193.75,0.14,193.75,0.14,-81.25,-0.06,650,0.00
7,Entry long,2025-03-20 06:00,Long trade,1.0891,1,136137.5,193.75,0.14,193.75,0.14,-81.25,-0.06,650,0.00
8,Exit long,2025-03-24 18:15,Close entry(s) order Long trade,1.08475,1,135793.75,-200,-0.15,87.5,0.06,-393.75,-0.29,450,0.00
8,Entry long,2025-03-24 09:45,Long trade,1.08635,1,135793.75,-200,-0.15,87.5,0.06,-393.75,-0.29,450,0.00
9,Exit long,2025-03-28 08:45,Exit Long,1.0831,1,135193.75,193.75,0.14,193.75,0.14,-43.75,-0.03,643.75,0.00
9,Entry long,2025-03-28 06:00,Long trade,1.08155,1,135193.75,193.75,0.14,193.75,0.14,-43.75,-0.03,643.75,0.00
10,Exit long,2025-03-31 09:15,Exit Long,1.08655,1,135625,193.75,0.14,193.75,0.14,-25,-0.02,837.5,0.00
10,Entry long,2025-03-31 08:45,Long trade,1.085,1,135625,193.75,0.14,193.75,0.14,-25,-0.02,837.5,0.00
11,Exit long,2025-04-01 04:45,Exit Long,1.0863,1,135593.75,193.75,0.14,193.75,0.14,-25,-0.02,1031.25,0.00
11,Entry long,2025-04-01 03:15,Long trade,1.08475,1,135593.75,193.75,0.14,193.75,0.14,-25,-0.02,1031.25,0.00
12,Exit long,2025-04-01 10:00,Exit Long,1.0849,1,135418.75,193.75,0.14,193.75,0.14,-112.5,-0.08,1225,0.00
12,Entry long,2025-04-01 07:15,Long trade,1.08335,1,135418.75,193.75,0.14,193.75,0.14,-112.5,-0.08,1225,0.00
13,Exit short,2025-04-03 03:15,Exit Short,1.1013,1,137856.25,193.75,0.14,193.75,0.14,0,0.00,1418.75,0.00
13,Entry short,2025-04-03 03:15,Short trade,1.10285,1,137856.25,193.75,0.14,193.75,0.14,0,0.00,1418.75,0.00
14,Exit short,2025-04-03 06:00,Exit Short,1.11055,1,138306.25,-512.5,-0.37,0,0.00,-512.5,-0.37,906.25,0.00
14,Entry short,2025-04-03 05:00,Short trade,1.10645,1,138306.25,-512.5,-0.37,0,0.00,-512.5,-0.37,906.25,0.00
15,Exit long,2025-04-04 06:15,Exit Long,1.1057,1,138018.75,193.75,0.14,193.75,0.14,-412.5,-0.30,1100,0.00
15,Entry long,2025-04-04 04:30,Long trade,1.10415,1,138018.75,193.75,0.14,193.75,0.14,-412.5,-0.30,1100,0.00
16,Exit long,2025-04-08 08:00,Exit Long,1.099,1,137181.25,193.75,0.14,193.75,0.14,-250,-0.18,1293.75,0.00
16,Entry long,2025-04-08 04:45,Long trade,1.09745,1,137181.25,193.75,0.14,193.75,0.14,-250,-0.18,1293.75,0.00
17,Exit short,2025-04-10 06:30,Exit Short,1.1118,1,138462.5,-512.5,-0.37,118.75,0.09,-512.5,-0.37,781.25,0.00
17,Entry short,2025-04-10 04:15,Short trade,1.1077,1,138462.5,-512.5,-0.37,118.75,0.09,-512.5,-0.37,781.25,0.00
18,Exit short,2025-04-10 09:00,Exit Short,1.11355,1,139387.5,193.75,0.14,193.75,0.14,-325,-0.23,975,0.00
18,Entry short,2025-04-10 08:30,Short trade,1.1151,1,139387.5,193.75,0.14,193.75,0.14,-325,-0.23,975,0.00
19,Exit short,2025-04-11 05:00,Exit Short,1.14625,1,143475,193.75,0.14,193.75,0.14,-493.75,-0.34,1168.75,0.00
19,Entry short,2025-04-11 04:45,Short trade,1.1478,1,143475,193.75,0.14,193.75,0.14,-493.75,-0.34,1168.75,0.00
20,Exit long,2025-04-15 03:30,Exit Long,1.13905,1,142187.5,193.75,0.14,193.75,0.14,-87.5,-0.06,1362.5,0.00
