Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-10 05:30,Exit Long,42537,2,424880,490,0.12,490,0.12,-30,-0.01,490,0.00
1,Entry long,2025-03-10 05:30,Long trade,42488,2,424880,490,0.12,490,0.12,-30,-0.01,490,0.00
2,Exit long,2025-03-10 09:00,Exit Long,42405,2,423540,510,0.12,510,0.12,-480,-0.11,1000,0.00
2,Entry long,2025-03-10 08:15,Long trade,42354,2,423540,510,0.12,510,0.12,-480,-0.11,1000,0.00
3,Exit long,2025-03-12 09:45,Exit Long,41544,2,414950,490,0.12,490,0.12,0,0.00,1490,0.00
3,Entry long,2025-03-12 09:45,Long trade,41495,2,414950,490,0.12,490,0.12,0,0.00,1490,0.00
4,Exit long,2025-03-13 05:15,Exit Long,41297,2,412450,520,0.13,520,0.13,-370,-0.09,2010,0.00
4,Entry long,2025-03-13 04:30,Long trade,41245,2,412450,520,0.13,520,0.13,-370,-0.09,2010,0.00
5,Exit short,2025-03-17 07:45,Exit Short,41339,2,413900,510,0.12,510,0.12,-340,-0.08,2520,0.00
5,Entry short,2025-03-17 07:00,Short trade,41390,2,413900,510,0.12,510,0.12,-340,-0.08,2520,0.00
6,Exit short,2025-03-17 09:45,Exit Short,41709,2,417610,520,0.12,520,0.12,-360,-0.09,3040,0.00
6,Entry short,2025-03-17 09:45,Short trade,41761,2,417610,520,0.12,520,0.12,-360,-0.09,3040,0.00
7,Exit short,2025-03-17 10:00,Exit Short,41651,2,416980,470,0.11,470,0.11,-210,-0.05,3510,0.00
7,Entry short,2025-03-17 10:00,Short trade,41698,2,416980,470,0.11,470,0.11,-210,-0.05,3510,0.00
8,Exit short,2025-03-18 06:00,Exit Short,42153,2,421980,450,0.11,450,0.11,-490,-0.12,3960,0.00
8,Entry short,2025-03-18 04:45,Short trade,42198,2,421980,450,0.11,450,0.11,-490,-0.12,3960,0.00
9,Exit short,2025-03-19 10:15,Close entry(s) order Short trade,42144,2,421490,50,0.01,180,0.04,-270,-0.06,4010,0.00
9,Entry short,2025-03-19 10:00,Short trade,42149,2,421490,50,0.01,180,0.04,-270,-0.06,4010,0.00
10,Exit short,2025-03-24 04:00,Exit Short,42647,2,425960,-510,-0.12,70,0.02,-510,-0.12,3500,0.00
10,Entry short,2025-03-24 04:00,Short trade,42596,2,425960,-510,-0.12,70,0.02,-510,-0.12,3500,0.00
11,Exit short,2025-03-24 07:00,Exit Short,42697,2,426460,-510,-0.12,440,0.10,-510,-0.12,2990,0.00
11,Entry short,2025-03-24 04:30,Short trade,42646,2,426460,-510,-0.12,440,0.10,-510,-0.12,2990,0.00
12,Exit short,2025-03-25 07:45,Exit Short,42963,2,429140,-490,-0.11,10,0.00,-490,-0.11,2500,0.00
12,Entry short,2025-03-25 07:30,Short trade,42914,2,429140,-490,-0.11,10,0.00,-490,-0.11,2500,0.00
13,Exit short,2025-03-25 09:30,Exit Short,43014,2,429640,-500,-0.12,0,0.00,-500,-0.12,2000,0.00
13,Entry short,2025-03-25 09:30,Short trade,42964,2,429640,-500,-0.12,0,0.00,-500,-0.12,2000,0.00
14,Exit short,2025-03-26 08:30,Exit Short,42983,2,429350,-480,-0.11,100,0.02,-480,-0.11,1520,0.00
14,Entry short,2025-03-26 08:15,Short trade,42935,2,429350,-480,-0.11,100,0.02,-480,-0.11,1520,0.00
15,Exit short,2025-03-26 10:00,Exit Short,43109,2,430590,-500,-0.12,390,0.09,-500,-0.12,1020,0.00
15,Entry short,2025-03-26 10:00,Short trade,43059,2,430590,-500,-0.12,390,0.09,-500,-0.12,1020,0.00
16,Exit short,2025-04-01 04:00,Exit Short,42166,2,422160,500,0.12,500,0.12,-130,-0.03,1520,0.00
16,Entry short,2025-04-01 03:30,Short trade,42216,2,422160,500,0.12,500,0.12,-130,-0.03,1520,0.00
17,Exit long,2025-04-03 03:30,Exit Long,41434,2,414860,-520,-0.13,120,0.03,-520,-0.13,1000,0.00
17,Entry long,2025-04-03 03:30,Long trade,41486,2,414860,-520,-0.13,120,0.03,-520,-0.13,1000,0.00
18,Exit long,2025-04-03 06:30,Exit Long,41271,2,413170,-460,-0.11,340,0.08,-460,-0.11,540,0.00
18,Entry long,2025-04-03 06:15,Long trade,41317,2,413170,-460,-0.11,340,0.08,-460,-0.11,540,0.00
19,Exit long,2025-04-04 04:15,Exit Long,40480,2,404290,510,0.13,510,0.13,-420,-0.10,1050,0.00
19,Entry long,2025-04-04 04:15,Long trade,40429,2,404290,510,0.13,510,0.13,-420,-0.10,1050,0.00
20,Exit long,2025-04-04 07:15,Exit Long,39634,2,395860,480,0.12,480,0.12,0,0.00,1530,0.00
20,Entry long,2025-04-04 07:15,Long trade,39586,2,395860,480,0.12,480,0.12,0,0.00,1530,0.00
21,Exit long,2025-04-04 08:00,Exit Long,39600,2,396500,-500,-0.13,140,0.04,-500,-0.13,1030,0.00
21,Entry long,2025-04-04 08:00,Long trade,39650,2,396500,-500,-0.13,140,0.04,-500,-0.13,1030,0.00
22,Exit long,2025-04-07 02:45,Exit Long,37093,2,370490,440,0.12,440,0.12,0,0.00,1470,0.00
22,Entry long,2025-04-07 02:45,Long trade,37049,2,370490,440,0.12,440,0.12,0,0.00,1470,0.00
23,Exit long,2025-04-07 03:15,Exit Long,37139,2,370930,460,0.12,460,0.12,0,0.00,1930,0.00
23,Entry long,2025-04-07 03:15,Long trade,37093,2,370930,460,0.12,460,0.12,0,0.00,1930,0.00
24,Exit long,2025-04-07 04:00,Exit Long,37036,2,369840,520,0.14,520,0.14,-240,-0.06,2450,0.00
24,Entry long,2025-04-07 04:00,Long trade,36984,2,369840,520,0.14,520,0.14,-240,-0.06,2450,0.00
25,Exit short,2025-04-08 07:45,Exit Short,39232,2,391850,-470,-0.12,320,0.08,-470,-0.12,1980,0.00
25,Entry short,2025-04-08 07:45,Short trade,39185,2,391850,-470,-0.12,320,0.08,-470,-0.12,1980,0.00
26,Exit short,2025-04-08 09:00,Exit Short,39257,2,392070,-500,-0.13,320,0.08,-500,-0.13,1480,0.00
26,Entry short,2025-04-08 08:45,Short trade,39207,2,392070,-500,-0.13,320,0.08,-500,-0.13,1480,0.00
27,Exit short,2025-04-09 03:30,Exit Short,37764,2,378250,610,0.16,610,0.16,0,0.00,2090,0.00
27,Entry short,2025-04-09 03:30,Short trade,37825,2,378250,610,0.16,610,0.16,0,0.00,2090,0.00
28,Exit long,2025-04-09 07:45,Exit Long,37064,2,370010,630,0.17,630,0.17,-230,-0.06,2720,0.00
28,Entry long,2025-04-09 07:45,Long trade,37001,2,370010,630,0.17,630,0.17,-230,-0.06,2720,0.00
29,Exit short,2025-04-11 03:00,Exit Short,39992,2,400450,530,0.13,530,0.13,-300,-0.07,3250,0.00
29,Entry short,2025-04-11 03:00,Short trade,40045,2,400450,530,0.13,530,0.13,-300,-0.07,3250,0.00
30,Exit short,2025-04-14 07:45,Exit Short,40741,2,407970,560,0.14,560,0.14,-110,-0.03,3810,0.00
30,Entry short,2025-04-14 07:45,Short trade,40797,2,407970,560,0.14,560,0.14,-110,-0.03,3810,0.00
31,Exit short,2025-04-15 03:15,Exit Short,40843,2,407890,-540,-0.13,0,0.00,-540,-0.13,3270,0.00
31,Entry short,2025-04-15 03:15,Short trade,40789,2,407890,-540,-0.13,0,0.00,-540,-0.13,3270,0.00
32,Exit short,2025-04-15 04:30,Exit Short,40776,2,408300,540,0.13,540,0.13,-120,-0.03,3810,0.00
32,Entry short,2025-04-15 04:15,Short trade,40830,2,408300,540,0.13,540,0.13,-120,-0.03,3810,0.00
33,Exit long,2025-04-15 09:00,Exit Long,40700,2,406480,520,0.13,520,0.13,-450,-0.11,4330,0.00
33,Entry long,2025-04-15 08:45,Long trade,40648,2,406480,520,0.13,520,0.13,-450,-0.11,4330,0.00
34,Exit long,2025-04-16 04:15,Exit Long,40261,2,402110,500,0.12,500,0.12,-100,-0.02,4830,0.00
34,Entry long,2025-04-16 04:00,Long trade,40211,2,402110,500,0.12,500,0.12,-100,-0.02,4830,0.00
35,Exit long,2025-04-17 08:30,Exit Long,39318,2,392730,450,0.11,450,0.11,-90,-0.02,5280,0.01
35,Entry long,2025-04-17 08:30,Long trade,39273,2,392730,450,0.11,450,0.11,-90,-0.02,5280,0.01
36,Exit long,2025-04-21 06:00,Exit Long,38984,2,389330,510,0.13,510,0.13,-260,-0.07,5790,0.01
36,Entry long,2025-04-21 04:00,Long trade,38933,2,389330,510,0.13,510,0.13,-260,-0.07,5790,0.01
37,Exit short,2025-04-23 04:30,Exit Short,40011,2,399630,-480,-0.12,180,0.05,-480,-0.12,5310,0.01
37,Entry short,2025-04-23 04:15,Short trade,39963,2,399630,-480,-0.12,180,0.05,-480,-0.12,5310,0.01
38,Exit short,2025-04-23 05:45,Exit Short,39999,2,399510,-480,-0.12,60,0.02,-480,-0.12,4830,0.00
38,Entry short,2025-04-23 05:45,Short trade,39951,2,399510,-480,-0.12,60,0.02,-480,-0.12,4830,0.00
39,Exit short,2025-04-29 06:30,Exit Short,40495,2,405440,490,0.12,490,0.12,-250,-0.06,5320,0.01
39,Entry short,2025-04-29 06:15,Short trade,40544,2,405440,490,0.12,490,0.12,-250,-0.06,5320,0.01
40,Exit short,2025-04-30 03:30,Exit Short,40626,2,406730,470,0.12,470,0.12,-50,-0.01,5790,0.01
40,Entry short,2025-04-30 03:15,Short trade,40673,2,406730,470,0.12,470,0.12,-50,-0.01,5790,0.01
41,Exit short,2025-04-30 05:00,Exit Short,40635,2,406860,510,0.13,510,0.13,-220,-0.05,6300,0.01
41,Entry short,2025-04-30 04:15,Short trade,40686,2,406860,510,0.13,510,0.13,-220,-0.05,6300,0.01
42,Exit short,2025-05-01 07:45,Exit Short,41115,2,410620,-530,-0.13,0,0.00,-530,-0.13,5770,0.01
42,Entry short,2025-05-01 07:30,Short trade,41062,2,410620,-530,-0.13,0,0.00,-530,-0.13,5770,0.01
43,Exit short,2025-05-02 08:45,Exit Short,41249,2,411980,-510,-0.12,120,0.03,-510,-0.12,5260,0.01
43,Entry short,2025-05-02 08:45,Short trade,41198,2,411980,-510,-0.12,120,0.03,-510,-0.12,5260,0.01
44,Exit long,2025-05-06 06:30,Exit Long,41125,2,410730,520,0.13,520,0.13,-220,-0.05,5780,0.01
44,Entry long,2025-05-06 06:00,Long trade,41073,2,410730,520,0.13,520,0.13,-220,-0.05,5780,0.01
