Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-07 10:00,Exit Long,20097,4,161116,-340,-0.21,428,0.27,-340,-0.21,-340,0.00
1,Entry long,2025-03-07 10:00,Long trade,20139.5,4,161116,-340,-0.21,428,0.27,-340,-0.21,-340,0.00
2,Exit long,2025-03-07 10:15,Exit Long,20071.5,4,160918,-346,-0.22,138,0.09,-346,-0.22,-686,0.00
2,Entry long,2025-03-07 10:15,Long trade,20114.75,4,160918,-346,-0.22,138,0.09,-346,-0.22,-686,0.00
3,Exit long,2025-03-07 10:30,Exit Long,20015.75,4,160468,-342,-0.21,8,0.00,-342,-0.21,-1028,0.00
3,Entry long,2025-03-07 10:30,Long trade,20058.5,4,160468,-342,-0.21,8,0.00,-342,-0.21,-1028,0.00
4,Exit short,2025-03-10 10:30,Exit Short,19626.5,4,157760,748,0.47,748,0.47,-234,-0.15,-280,0.00
4,Entry short,2025-03-10 10:15,Short trade,19720,4,157760,748,0.47,748,0.47,-234,-0.15,-280,0.00
5,Exit short,2025-03-10 10:45,Exit Short,19526.75,4,156960,746,0.48,746,0.48,-216,-0.14,466,0.00
5,Entry short,2025-03-10 10:45,Short trade,19620,4,156960,746,0.48,746,0.48,-216,-0.14,466,0.00
6,Exit short,2025-03-10 11:00,Exit Short,19596.5,4,156436,-336,-0.21,44,0.03,-336,-0.21,130,0.00
6,Entry short,2025-03-10 11:00,Short trade,19554.5,4,156436,-336,-0.21,44,0.03,-336,-0.21,130,0.00
7,Exit short,2025-03-10 11:30,Exit Short,19650.25,4,156860,-342,-0.22,376,0.24,-342,-0.22,-212,0.00
7,Entry short,2025-03-10 11:15,Short trade,19607.5,4,156860,-342,-0.22,376,0.24,-342,-0.22,-212,0.00
8,Exit short,2025-03-10 13:30,Exit Short,19449,4,156344,752,0.48,752,0.48,-76,-0.05,540,0.00
8,Entry short,2025-03-10 13:00,Short trade,19543,4,156344,752,0.48,752,0.48,-76,-0.05,540,0.00
9,Exit long,2025-03-11 10:15,Exit Long,19397.5,4,155522,-342,-0.22,358,0.23,-342,-0.22,198,0.00
9,Entry long,2025-03-11 10:15,Long trade,19440.25,4,155522,-342,-0.22,358,0.23,-342,-0.22,198,0.00
10,Exit long,2025-03-11 11:30,Exit Long,19524.25,4,155440,754,0.49,754,0.49,-120,-0.08,952,0.00
10,Entry long,2025-03-11 11:30,Long trade,19430,4,155440,754,0.49,754,0.49,-120,-0.08,952,0.00
11,Exit long,2025-03-11 11:45,Exit Long,19471,4,156112,-344,-0.22,92,0.06,-344,-0.22,608,0.00
11,Entry long,2025-03-11 11:45,Long trade,19514,4,156112,-344,-0.22,92,0.06,-344,-0.22,608,0.00
