Type,Date and time,Net P&L USD
Trade,2025-04-01 12:00:00,2.35
Trade,2025-04-02 12:00:00,2.66
Trade,2025-04-03 12:00:00,3.57
Trade,2025-04-04 12:00:00,-0.44
Trade,2025-04-05 12:00:00,-0.07
Trade,2025-04-06 12:00:00,-0.60
Trade,2025-04-07 12:00:00,1.07
Trade,2025-04-08 12:00:00,-0.07
Trade,2025-04-09 12:00:00,-0.87
Trade,2025-04-10 12:00:00,-0.84
Trade,2025-04-11 12:00:00,0.07
Trade,2025-04-12 12:00:00,0.22
Trade,2025-04-13 12:00:00,-21.76
Trade,2025-04-14 12:00:00,9.41
Trade,2025-04-15 12:00:00,-92.06
Trade,2025-04-16 12:00:00,5.08
Trade,2025-04-17 12:00:00,5.02
Trade,2025-04-18 12:00:00,-20.19
Trade,2025-04-19 12:00:00,-21.68
Trade,2025-04-20 12:00:00,-9.96
Trade,2025-04-21 12:00:00,-9.99
Trade,2025-04-22 12:00:00,3.09
Trade,2025-04-23 12:00:00,3.22
Trade,2025-04-24 12:00:00,-10.40
Trade,2025-04-25 12:00:00,-10.56
Trade,2025-04-26 12:00:00,2.73
Trade,2025-04-27 12:00:00,2.69
Trade,2025-04-28 12:00:00,1.10
Trade,2025-04-29 12:00:00,0.90
Trade,2025-04-30 12:00:00,6.02
Trade,2025-05-01 12:00:00,6.02
Trade,2025-05-02 12:00:00,1.67
Trade,2025-05-03 12:00:00,1.75
Trade,2025-05-04 12:00:00,2.27
Trade,2025-05-05 12:00:00,2.39
Trade,2025-05-06 12:00:00,1.65
Trade,2025-05-07 12:00:00,1.69
Trade,2025-05-08 12:00:00,4.97
Trade,2025-05-09 12:00:00,5.30
Trade,2025-05-10 12:00:00,6.47
Trade,2025-05-11 12:00:00,6.53
Trade,2025-05-12 12:00:00,4.23
Trade,2025-05-13 12:00:00,4.50
Trade,2025-05-14 12:00:00,4.32
Trade,2025-05-15 12:00:00,5.93
Trade,2025-05-16 12:00:00,5.29
Trade,2025-05-17 12:00:00,5.08
Trade,2025-05-18 12:00:00,-20.29
Trade,2025-05-19 12:00:00,5.90
Trade,2025-05-20 12:00:00,5.03
Trade,2025-05-21 12:00:00,4.74
Trade,2025-05-22 12:00:00,-20.27
Trade,2025-05-23 12:00:00,3.75
Trade,2025-05-24 12:00:00,6.05
Trade,2025-05-25 12:00:00,6.37
Trade,2025-05-26 12:00:00,5.31
